"Time"	G1	G3	G7	G8	G5	G22	G4	G83	G6	G88	G85	G89	G54	G86	G87	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G82	G80	G58	G31	G50	G51	G78	G94	G95	G93	G91	G90	G2	G69
450	0.0857651	0.0439814	0.6362938	0.4965481	0.5802010	0.7149986	0.0222085	0.7238593	0.7418919	0.0782307	0.5441520	0.3615014	0.0082961	0.6736363	0.6435672	0.3232270	0.3906163	0.5403629	0.0143805	0.7507921	0.4710564	0.3247467	0.6415179	0.6847391	0.5982896	0.6372528	0.0787513	0.0030074	0.6541471	0.0119488	0.4988243	0.1310934	0.4206150	0.2440788	0.6846340	0.7461970	0.1468993	0.6853936	0.4184227	0.5573777
500	0.1320851	0.0462056	0.5994346	0.5511573	0.5828197	0.6331177	0.0258604	0.6747776	0.5963154	0.0288503	0.6463259	0.4027733	0.0081686	0.5973426	0.7652974	0.3724842	0.4302506	0.6037582	0.0203344	0.7640858	0.4000218	0.3767988	0.7034386	0.7290470	0.6970685	0.6971981	0.0904740	0.0015925	0.5983146	0.0008349	0.4121209	0.1288188	0.4714404	0.2967769	0.7111264	0.7402244	0.1403318	0.6029407	0.4467834	0.5530502
550	0.3018839	0.1328246	0.7187919	0.7474168	0.3288875	0.7480136	0.0361210	0.6375232	0.6556088	0.6039947	0.6350241	0.3212273	0.0133553	0.5978441	0.6359358	0.2704229	0.3656986	0.3717144	0.0067259	0.5694244	0.4228838	0.4330110	0.6419984	0.6938032	0.3617059	0.6906971	0.0790774	0.0808972	0.6600020	0.0263811	0.1886167	0.0428329	0.4300373	0.2033818	0.8310180	0.4134822	0.1748474	0.6644824	0.4699965	0.5894714
600	0.2448653	0.2630841	0.5695725	0.5867285	0.1535789	0.7194104	0.0872286	0.8428372	0.4454725	0.6509092	0.5928473	0.3705123	0.0144293	0.6038129	0.5314769	0.1824390	0.4188862	0.2536575	0.0188049	0.6672091	0.4264579	0.3717924	0.6702286	0.6622483	0.2612532	0.6874128	0.1061740	0.0617374	0.6687676	0.0429927	0.1496325	0.0162657	0.4332908	0.3436247	0.7489065	0.4766226	0.1842741	0.6039538	0.3807173	0.6768799
650	0.2793019	0.3319151	0.5511657	0.6073215	0.0930020	0.7225577	0.1165906	0.6153284	0.4453887	0.6725312	0.5218923	0.3112742	0.0057514	0.7221051	0.5722366	0.2254376	0.3882867	0.2471415	0.0178052	0.7494414	0.4253578	0.4744243	0.7215904	0.6356760	0.2732481	0.6244566	0.0760614	0.0906633	0.5545767	0.0391136	0.0812776	0.0051632	0.4425965	0.2242237	0.7255758	0.4666981	0.2380787	0.6733864	0.4799424	0.6739828
700	0.3072604	0.3419417	0.7242646	0.4944508	0.0958949	0.7108527	0.1272798	0.7696308	0.4488791	0.7028017	0.5318483	0.3230126	0.0270286	0.6741659	0.5377409	0.1636534	0.4191226	0.3754355	0.0068408	0.6984759	0.4798269	0.6886240	0.7470806	0.8162205	0.2486331	0.8026403	0.0655643	0.0891479	0.7247655	0.0411510	0.0558608	0.0029414	0.4377423	0.2803973	0.6142213	0.4939842	0.2251474	0.5561812	0.4388765	0.7235240
750	0.3338041	0.5384240	0.7318162	0.6542189	0.0598490	0.7211688	0.1652457	0.5830202	0.4675564	0.7510107	0.5280291	0.2541200	0.0070997	0.6540722	0.5216581	0.1812602	0.4101447	0.2723860	0.0399629	0.6314734	0.4537040	0.4605274	0.6747132	0.6601597	0.1982658	0.5623030	0.0470069	0.0965638	0.6100573	0.0222632	0.0850606	0.0054325	0.5689892	0.3700901	0.5013397	0.5354508	0.1629493	0.7961543	0.4197840	0.7149527
800	0.3473259	0.5179788	0.6643013	0.5980664	0.0436686	0.7557481	0.1782313	0.7956409	0.5192485	0.6532682	0.4776359	0.3723518	0.0144389	0.7986450	0.6392305	0.1847837	0.3554869	0.4204285	0.0206081	0.5585139	0.4655247	0.4748415	0.6548842	0.6027758	0.2271807	0.6665234	0.0775158	0.0750979	0.5842169	0.0285645	0.0946073	0.0033453	0.4451173	0.2953154	0.6017823	0.6828431	0.2120165	0.7215434	0.3799496	0.6646107
850	0.3626372	0.4884192	0.6034428	0.5960423	0.0315089	0.6305068	0.2148888	0.6756851	0.4419252	0.6824105	0.4904012	0.3210683	0.0178161	0.7261113	0.4085657	0.1938907	0.3562808	0.5069365	0.0489402	0.6213816	0.5044355	0.5809841	0.6676093	0.6077042	0.2443610	0.5740552	0.0754104	0.1851431	0.5950081	0.0164022	0.0579027	0.0061169	0.5844207	0.2299907	0.6770219	0.5897028	0.3080654	0.7115850	0.3875372	0.7271435
900	0.2783070	0.5616553	0.5037076	0.5480152	0.0684660	0.6476772	0.2635964	0.6962074	0.5251456	0.6604768	0.5474114	0.4143064	0.0078919	0.5707323	0.4950200	0.1855815	0.5023842	0.2355341	0.0165875	0.6492139	0.5074869	0.4871327	0.6837960	0.6141801	0.1969269	0.6540547	0.1083591	0.1248557	0.6852966	0.0357464	0.1111499	0.0034587	0.4534679	0.2764417	0.7128374	0.5398920	0.2231269	0.6821302	0.4211824	0.5969426
950	0.3084255	0.3817176	0.5800907	0.5370189	0.0629624	0.5994292	0.1899022	0.6942199	0.5668092	0.7337700	0.4721908	0.3994731	0.0093504	0.5988582	0.4637530	0.1592077	0.4625879	0.2799045	0.0093589	0.6925080	0.3713831	0.6085168	0.7153586	0.6585205	0.2574776	0.6683131	0.1259264	0.1047619	0.6919013	0.0448393	0.0921353	0.0015843	0.4535774	0.2829065	0.6905206	0.4710909	0.2410547	0.6616852	0.4344592	0.6433241
1000	0.3362528	0.3821330	0.6302731	0.5732246	0.0453649	0.6130694	0.2305466	0.6748323	0.4603929	0.6539676	0.4939208	0.3967863	0.0094953	0.6895474	0.5402604	0.1864190	0.4328227	0.2959631	0.0123042	0.6323671	0.4698605	0.5089710	0.6578455	0.6349119	0.1657809	0.6731137	0.0850512	0.1030527	0.6462089	0.0286557	0.0524417	0.0106715	0.4050485	0.3565975	0.6439963	0.5049985	0.2394145	0.7254103	0.3056653	0.6815708

0	0.3060646	0.3650936	0.6115357	0.5084782	0.0469276	0.7168412	0.2614330	0.6814976	0.4522298	0.7358121	0.5511606	0.3920343	0.0136839	0.8126087	0.5007251	0.2054779	0.4429722	0.4439945	0.0171266	0.6443358	0.4711784	0.4573396	0.6664231	0.6337581	0.1609050	0.7639411	0.1126824	0.1191237	0.7295254	0.0176150	0.0776722	0.0019489	0.3938093	0.3825008	0.7210431	0.5734491	0.2715520	0.6956439	0.4476503	0.8262445
50	0.2707661	0.3472603	0.4226780	0.0396703	0.0208217	0.6703814	0.3811175	0.5809408	0.5307832	0.6915761	0.5003097	0.3243469	0.0032112	0.6316681	0.3472322	0.1871805	0.4206142	0.1491775	0.0374045	0.6415700	0.4816814	0.4384845	0.6900833	0.5946959	0.1460239	0.6428987	0.1076952	0.0894104	0.7218611	0.0224997	0.0915300	0.0060994	0.4356437	0.2374511	0.5959866	0.5675545	0.2542373	0.7250943	0.3077748	0.6343491
100	0.2891123	0.3944813	0.2805471	0.0411164	0.0124147	0.6015918	0.4802512	0.5861795	0.4386169	0.6837520	0.5272969	0.3937001	0.0001415	0.5115094	0.4591262	0.2454407	0.3867855	0.2862328	0.0126062	0.7317549	0.4825412	0.5268234	0.6385431	0.6571363	0.1782264	0.6342308	0.1004115	0.0792013	0.6514323	0.0252416	0.0705874	0.0026196	0.4887855	0.2650299	0.7984631	0.5328652	0.2421993	0.5898598	0.2934597	0.4286510
150	0.3887348	0.3970558	0.3120931	0.0414861	0.0133492	0.5986381	0.5672975	0.5364984	0.4201707	0.6857624	0.5771889	0.4326900	0.0026827	0.5529428	0.5199857	0.2150054	0.3706128	0.6099857	0.0193518	0.6818416	0.5250776	0.5784738	0.6514275	0.7130143	0.2112230	0.7500909	0.0752105	0.0698634	0.5709073	0.0377945	0.0973194	0.0033530	0.4657511	0.3360518	0.6818977	0.5075470	0.2431201	0.5857736	0.3530118	0.3746690
200	0.3128405	0.3548176	0.2527616	0.0202859	0.0391764	0.7772849	0.4331130	0.5775159	0.4342965	0.7127595	0.5233212	0.3813920	0.0031035	0.7664574	0.6051690	0.1947373	0.3822358	0.7182100	0.0501975	0.7190876	0.5104494	0.4797644	0.6650610	0.6250701	0.2101509	0.6640706	0.0696597	0.0915169	0.5914184	0.0208022	0.0781604	0.0096988	0.4701734	0.2601020	0.6483863	0.6003969	0.2632343	0.4956298	0.2193354	0.4499112
250	0.3064916	0.4394159	0.3559453	0.0535308	0.0181834	0.6933608	0.5066383	0.5195580	0.5692384	0.6192798	0.5408538	0.3709843	0.0007570	0.6664863	0.5676564	0.1453569	0.4073945	0.6925740	0.0235944	0.6810373	0.5047906	0.4704428	0.6701328	0.6900856	0.1912170	0.7178834	0.1037493	0.0722414	0.6979510	0.0341183	0.0748925	0.0024989	0.4293480	0.2502913	0.6886112	0.4425600	0.3330228	0.6467276	0.1926841	0.4279498
300	0.3672265	0.5864978	0.2256800	0.0306563	0.0140434	0.6918190	0.5582854	0.4803327	0.4292247	0.6713653	0.5471918	0.3937855	0.0001562	0.7223007	0.6556714	0.2262097	0.4387596	0.6331258	0.0243861	0.6114353	0.3852131	0.6138222	0.6607483	0.6466210	0.2806644	0.6338228	0.1063573	0.1321347	0.6908257	0.0401019	0.0734827	0.0053704	0.4589900	0.2942202	0.7128870	0.4976010	0.3924686	0.6607710	0.1914950	0.4300213
350	0.2998024	0.3797157	0.2816949	0.0537971	0.0022942	0.8074397	0.4454342	0.6010660	0.4191269	0.5733284	0.6050381	0.2973411	0.0015533	0.5781062	0.8552199	0.1435999	0.4653931	0.7187919	0.0304099	0.6510294	0.5110779	0.6203645	0.5809579	0.5802433	0.2391750	0.7255697	0.0974529	0.1091505	0.7417796	0.0159317	0.0576722	0.0043968	0.4238864	0.2756526	0.6767857	0.5436967	0.2987061	0.6785413	0.2901984	0.5631089
400	0.4070050	0.3068505	0.2919001	0.0176537	0.0084339	0.5295857	0.5324111	0.6159412	0.4427150	0.7845347	0.5376988	0.4277828	0.0027347	0.5875085	0.7335323	0.2073267	0.4601184	0.6950448	0.0434754	0.7023239	0.4177834	0.5641510	0.6971845	0.7179668	0.2052291	0.6628078	0.0971827	0.1056419	0.7098456	0.0233258	0.0861297	0.0010268	0.5385975	0.2229511	0.6183894	0.5530697	0.2510369	0.7415012	0.2632969	0.5213084
450	0.3036919	0.4423066	0.3087453	0.0281190	0.0085774	0.6966977	0.4912059	0.5122901	0.4219383	0.7537919	0.4472188	0.3574170	0.0000231	0.5914517	0.7002829	0.1935960	0.4219952	0.6179999	0.0281628	0.6519715	0.4918755	0.6002534	0.7120121	0.6755442	0.2574413	0.6419837	0.0483212	0.1090082	0.6651013	0.0272428	0.1023979	0.0084412	0.4684479	0.2312942	0.6713144	0.4643220	0.2261740	0.7088612	0.3509542	0.5777697
500	0.3094254	0.5019382	0.2728188	0.0421550	0.0115190	0.6276262	0.4498458	0.6948754	0.4267285	0.6479705	0.6199290	0.4388811	0.0007894	0.5690217	0.8316528	0.2398892	0.4385712	0.6220695	0.0169346	0.7290036	0.3958719	0.5392541	0.7180462	0.6305838	0.1974316	0.5811147	0.0607906	0.1013107	0.5956317	0.0661338	0.0797675	0.0049973	0.5721372	0.3420803	0.5779573	0.5496702	0.3190630	0.6679439	0.2448836	0.4453912
550	0.3165901	0.4412634	0.5462973	0.6068679	0.0340701	0.5640054	0.4069949	0.5322779	0.4598838	0.6941590	0.4755994	0.4154645	0.0085987	0.6163088	0.7158006	0.2484557	0.3876732	0.5533737	0.0258074	0.6376205	0.4737149	0.4762667	0.6581179	0.6818818	0.1485125	0.5834382	0.0912678	0.1120044	0.7661228	0.0459408	0.0772037	0.0018216	0.5240170	0.4017476	0.6455394	0.6990475	0.2908312	0.6488784	0.2634580	0.6028544
600	0.3058354	0.3776924	0.5966958	0.5524757	0.0488783	0.8043165	0.1656405	0.6028137	0.4609090	0.6259642	0.6226251	0.3690139	0.0101862	0.6240501	0.5622827	0.2944446	0.3667998	0.8045735	0.0221851	0.6374966	0.4607927	0.4678204	0.6075000	0.6300346	0.2246992	0.6013673	0.0795030	0.1424169	0.6735392	0.0174858	0.1022844	0.0237466	0.4444522	0.3518183	0.5983339	0.5577519	0.3625933	0.6502936	0.4255269	0.7504735
650	0.3568560	0.4906896	0.5960533	0.5188318	0.0306740	0.7100582	0.1136707	0.5985764	0.5115763	0.7137236	0.4789512	0.3307369	0.0101903	0.5945470	0.5770468	0.2193694	0.3777060	0.5263542	0.0192978	0.5854934	0.4384495	0.5559473	0.6562748	0.6468154	0.1784665	0.8536022	0.1035443	0.0963636	0.7829356	0.0250934	0.1122112	0.0040376	0.4206781	0.3778232	0.5516310	0.5647335	0.4241696	0.7536132	0.4556760	0.6983156
700	0.2523507	0.4115244	0.6216410	0.4497255	0.0931357	0.7075341	0.1224514	0.6347917	0.5549575	0.7333280	0.5367589	0.3340815	0.0143659	0.6361268	0.5455455	0.2386879	0.3806166	0.5135355	0.0281352	0.6992496	0.4170749	0.4624855	0.6490711	0.7121282	0.2760854	0.8068683	0.0642812	0.0509487	0.7059105	0.0391558	0.0520475	0.0013900	0.5495213	0.2874519	0.6115066	0.4898281	0.3047597	0.6940935	0.4262010	0.6833504
750	0.3152835	0.3807846	0.5839896	0.7127420	0.0532025	0.7090721	0.1334738	0.6639834	0.4530795	0.7404923	0.5000851	0.3894510	0.0205155	0.6120869	0.5277010	0.1440810	0.4944341	0.5156099	0.0293053	0.6443352	0.5197868	0.4826368	0.7333745	0.6302659	0.1434676	0.6658561	0.0769084	0.1422106	0.5926098	0.0190408	0.0527903	0.0039846	0.4300035	0.2573818	0.5953764	0.4099189	0.2493426	0.6118431	0.3588517	0.6107684
800	0.3822360	0.2827884	0.6287177	0.7120654	0.0708181	0.7413256	0.1200227	0.7532026	0.4791680	0.6251841	0.4689864	0.4179270	0.0203293	0.6123346	0.7028736	0.1620078	0.4578730	0.5318656	0.0134815	0.6209352	0.4394156	0.5393555	0.5879954	0.6343002	0.1476250	0.6209571	0.0770089	0.0929172	0.6655408	0.0232077	0.0616205	0.0095529	0.3380473	0.2733870	0.5283417	0.5335817	0.1977595	0.7216342	0.3199560	0.6795947
850	0.3655775	0.5141632	0.6704695	0.5380380	0.0459643	0.7258310	0.1795582	0.8444243	0.4510285	0.6606322	0.4866015	0.3710394	0.0295632	0.6707748	0.5717270	0.2344963	0.4112257	0.3434951	0.0042790	0.6861952	0.4862771	0.5477251	0.7182105	0.6525101	0.1959340	0.7283881	0.0644990	0.1401266	0.6473986	0.0203119	0.0785646	0.0040240	0.5181442	0.2931630	0.6516843	0.6548894	0.2133659	0.7682999	0.3896327	0.8234184
900	0.2964583	0.3797621	0.6714155	0.5614257	0.0536346	0.7436722	0.1949309	0.7914179	0.4582857	0.6254592	0.4205711	0.4098655	0.0182699	0.7404575	0.4099215	0.2411089	0.4916228	0.1223880	0.0055551	0.6740599	0.5800988	0.5831356	0.6795200	0.6334240	0.2574048	0.7976376	0.1187950	0.0874480	0.5928481	0.0178956	0.0653508	0.0013496	0.4283250	0.2736024	0.7706008	0.5043534	0.2621888	0.7761512	0.4348357	0.7933041
950	0.2826761	0.4087779	0.6591376	0.5955152	0.0692369	0.7558371	0.1752503	0.6406395	0.5026619	0.7012998	0.5396094	0.4040532	0.0447754	0.6751446	0.4468401	0.1776185	0.4284318	0.1109606	0.0164482	0.7223970	0.3888288	0.5285273	0.5580806	0.6896747	0.1746458	0.7684078	0.0551395	0.1163732	0.5975449	0.0160855	0.0781883	0.0040420	0.3486301	0.2813660	0.6626789	0.4881089	0.2181200	0.7651986	0.3691180	0.6345707
1000	0.3674808	0.5819928	0.6198228	0.4812709	0.0618972	0.6463508	0.2656328	0.5325463	0.4409756	0.6566515	0.5435934	0.3963761	0.0122486	0.6116952	0.4525705	0.1975755	0.4641620	0.1154399	0.0134243	0.6538361	0.4196515	0.5067269	0.6150180	0.7725342	0.1999742	0.7500141	0.0999769	0.1294990	0.5831095	0.0276766	0.0877709	0.0031046	0.4423312	0.2900770	0.6594550	0.4292417	0.1827388	0.6481098	0.4141824	0.7393633

0	0.3454448	0.5105930	0.7423708	0.5609674	0.1153965	0.6566116	0.2499389	0.7039637	0.4792404	0.7099196	0.5055544	0.4749462	0.0105422	0.6569421	0.4338878	0.2144952	0.4850672	0.4449266	0.0163067	0.6315667	0.4079983	0.4800059	0.7091525	0.6807656	0.2025968	0.6594452	0.1233513	0.0742511	0.6144293	0.0313566	0.0914361	0.0032282	0.5078224	0.3769626	0.7558833	0.5949547	0.2688845	0.8003216	0.4645786	0.6814195
50	0.3976530	0.4440773	0.5718579	0.5324723	0.0619477	0.7062376	0.5635937	0.5414923	0.1941156	0.2837075	0.4747620	0.4631027	0.0119433	0.6660542	0.3470707	0.2792114	0.6440347	0.3512891	0.0231014	0.6687848	0.4095380	0.5617033	0.1059276	0.5802953	0.2693721	0.7673210	0.0300312	0.1066747	0.8064285	0.0241078	0.2046843	0.0558012	0.3426757	0.2638905	0.7888619	0.4907281	0.1739083	0.3028294	0.3999597	0.7364505
100	0.4089240	0.5292209	0.5566896	0.5192575	0.0302995	0.6484918	0.7366731	0.6527390	0.2333588	0.1142740	0.4584749	0.5960569	0.0105956	0.7052632	0.2739289	0.2478439	0.5531668	0.2871980	0.0024070	0.5830134	0.4144820	0.4558903	0.0625474	0.5082290	0.1563946	0.7917477	0.0085171	0.0658206	0.6881534	0.0104862	0.2808777	0.1142145	0.4783859	0.2239669	0.6095150	0.4844927	0.1406970	0.4370570	0.4338133	0.6871087
150	0.4110786	0.5916231	0.5188400	0.4250446	0.0241644	0.7186663	0.7255677	0.6966713	0.1677587	0.0789075	0.4755816	0.6747736	0.0254722	0.6736647	0.3274643	0.2169367	0.3830468	0.4230806	0.0268478	0.5599543	0.3985636	0.3965588	0.0192925	0.5664280	0.2455452	0.7555377	0.0079440	0.1329757	0.6116546	0.0429510	0.2461116	0.1403606	0.5308318	0.3637585	0.5232645	0.5078027	0.2061133	0.2565418	0.3671916	0.6293510
200	0.4765821	0.4914832	0.4841771	0.3319674	0.0633068	0.6616565	0.7274676	0.8116207	0.0995272	0.0278366	0.3842045	0.4794799	0.0202881	0.5955012	0.3060971	0.3068785	0.4431295	0.4942063	0.0193735	0.6553144	0.4068982	0.3430369	0.0381017	0.5805694	0.2035102	0.6731545	0.0291941	0.0903862	0.5200490	0.0138385	0.2465466	0.1204920	0.5856507	0.3034990	0.6012381	0.4240281	0.2261042	0.2428294	0.3405744	0.6956523
250	0.6330153	0.4906641	0.3281650	0.3376759	0.0124057	0.7819522	0.5924455	0.5901470	0.1452667	0.0464296	0.4285916	0.5078218	0.0140512	0.6976399	0.2739609	0.3994662	0.3742196	0.4980789	0.0443624	0.6223980	0.4802550	0.3165449	0.0267444	0.6945171	0.1827950	0.5144770	0.0041188	0.1190304	0.7869777	0.0127194	0.2434882	0.1429237	0.7621147	0.4372318	0.5539414	0.6308052	0.2984378	0.2514153	0.4052134	0.6735631
300	0.6361438	0.5412427	0.1751488	0.1898702	0.0090934	0.6418184	0.6170143	0.5007486	0.1533042	0.0297033	0.4617541	0.6072920	0.0098701	0.6954726	0.2002144	0.3408121	0.5818321	0.4683934	0.0180358	0.6316392	0.4545067	0.2454770	0.0425356	0.6946607	0.1568251	0.5557301	0.0118689	0.1022919	0.5879401	0.0036368	0.1752803	0.0910783	0.6429005	0.3167010	0.6790908	0.5767795	0.2868426	0.2847035	0.3463945	0.5232871
350	0.6889533	0.6233609	0.2917078	0.2013732	0.0257640	0.6622439	0.6259108	0.6372639	0.1179482	0.0490754	0.4728374	0.5392053	0.0203836	0.6943603	0.2145797	0.3814745	0.4494837	0.4204529	0.0288891	0.6414305	0.3686732	0.1968508	0.0257512	0.7271402	0.1669007	0.7150798	0.0074134	0.0650564	0.6806131	0.0110050	0.1583299	0.1081483	0.5288702	0.3852105	0.6578162	0.5261468	0.2552820	0.2794704	0.3492406	0.6824960
400	0.6226997	0.6186341	0.1876518	0.1464437	0.0423543	0.7534581	0.6047323	0.6107192	0.1167817	0.0345849	0.4364795	0.5398356	0.0086844	0.6338823	0.2143414	0.4064661	0.4978568	0.4163277	0.0114992	0.5695867	0.4091795	0.1868690	0.0412974	0.5852084	0.1901096	0.7301240	0.0062424	0.1227062	0.6387719	0.0250505	0.2508250	0.0809507	0.5500546	0.3730480	0.5745315	0.5400839	0.1919345	0.2204374	0.3143242	0.6537972
450	0.6651351	0.6761396	0.2601858	0.2656068	0.0212885	0.6897408	0.6674422	0.6255916	0.0896137	0.0616114	0.3702730	0.4898838	0.0176220	0.7358816	0.1862252	0.3462633	0.4605551	0.3609363	0.0420667	0.6928150	0.3550480	0.2388808	0.0363069	0.6553609	0.1816731	0.6502322	0.0039004	0.1467453	0.6257235	0.0262237	0.3054173	0.1685515	0.5938121	0.4030202	0.6155692	0.5632320	0.2482166	0.2875758	0.2723573	0.7796230
500	0.5591604	0.6595047	0.1805399	0.1696847	0.0250203	0.6506004	0.7222047	0.6844694	0.1250357	0.0672067	0.4046740	0.5606289	0.0157735	0.7759096	0.3564948	0.2860055	0.3375291	0.4484994	0.0060502	0.6360918	0.5589590	0.2299239	0.0241683	0.7798607	0.2217461	0.6768072	0.0123061	0.0941830	0.6507247	0.0219209	0.2723918	0.1809997	0.6964450	0.3116841	0.7006921	0.5722369	0.3181309	0.3106404	0.2654639	0.7139112
550	0.5117323	0.5358117	0.2367173	0.2223649	0.0182699	0.7768190	0.5777759	0.7301161	0.2557261	0.4778779	0.5200576	0.4737292	0.0099678	0.6671489	0.3364916	0.3978489	0.2910409	0.7105055	0.0122146	0.7281494	0.6106047	0.3202716	0.5278952	0.7391508	0.2028932	0.6658314	0.0477966	0.0809483	0.5977021	0.0556899	0.1102075	0.0238576	0.6212061	0.4886797	0.7140032	0.5296578	0.2639555	0.6902972	0.3251154	0.6711440
600	0.4533403	0.7044560	0.3442611	0.3622770	0.0176851	0.7807343	0.4899604	0.7049959	0.3138930	0.6322791	0.5055937	0.3832537	0.0122363	0.7012084	0.3195523	0.2347345	0.3418948	0.6084024	0.0238157	0.7997283	0.5279222	0.4578454	0.6352678	0.6501048	0.2497148	0.5347077	0.0592664	0.0939451	0.6576113	0.0404189	0.0951829	0.0293637	0.7128118	0.3806366	0.6255762	0.5689269	0.5084378	0.7146668	0.3272235	0.6116317
650	0.4275072	0.5842517	0.3667139	0.3451514	0.0084928	0.7308010	0.4989921	0.6686836	0.3830281	0.5944525	0.4777885	0.4522161	0.0188923	0.6391454	0.3309499	0.2463629	0.4237689	0.4425653	0.0090661	0.6572688	0.4447367	0.5074229	0.5826149	0.7054966	0.1716040	0.6629229	0.0901386	0.0826458	0.6077474	0.0268684	0.0647854	0.0187833	0.4492866	0.3264336	0.7606913	0.6540739	0.3652260	0.6327291	0.3890691	0.6355911
