"Time"	G1	G3	G5	G7	G4	G22	G83	G8	G6	G86	G87	G85	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G82	G80	G19	G18	G20	G50	G58	G51	G31	G78	G93	G94	G95	G91	G90	G2	G69	G70	G84	G97	G43	G44
650	0.2614724	0.3236899	0.0150358	0.2202736	0.2945852	0.7149262	0.6238203	0.5825592	0.4452734	0.7293740	0.7011396	0.4399960	0.0144634	0.0270314	0.4689645	0.1136843	0.6416235	0.2379435	0.7255963	0.0770323	0.3220458	0.0719053	0.5829707	0.4088937	0.1727519	0.2400676	0.6891498	0.6942126	0.0069696	0.7398324	0.0053658	0.0769506	0.7507269	0.3230016	0.5775448	0.4114062	0.0215985	0.7725259	0.6795733	0.7836931	0.6580024	0.6904943	0.7659119	0.3375545	0.1100251
700	0.2709677	0.3723655	0.0188268	0.2168762	0.1381465	0.7574879	0.7128588	0.5531029	0.4204401	0.8601306	0.7509415	0.4877423	0.0039652	0.0211208	0.4186433	0.1253502	0.6948748	0.3164394	0.8031889	0.0859826	0.4136963	0.0261100	0.5625549	0.5177640	0.1494421	0.2237140	0.6913218	0.5850712	0.0104565	0.7312996	0.0083382	0.1111051	0.7476338	0.4638553	0.7040763	0.4938670	0.0216917	0.6355535	0.7154895	0.7254609	0.6891582	0.6240225	0.6725565	0.3278964	0.1125918
750	0.2361125	0.4548727	0.0254054	0.2968713	0.1879737	0.6648037	0.7158451	0.6196345	0.5075373	0.6546952	0.6937385	0.4955749	0.0042102	0.0141927	0.4343124	0.1050153	0.6110734	0.2399167	0.6013744	0.0894369	0.3972499	0.0915078	0.5076800	0.5615171	0.2236765	0.2317115	0.5774616	0.6496640	0.0167343	0.6584901	0.0085023	0.0718959	0.7118287	0.4857584	0.5974485	0.6172239	0.0151018	0.7092329	0.6804491	0.7148221	0.7130488	0.6072772	0.6967195	0.2575058	0.1402328
800	0.2135797	0.3358268	0.0116295	0.2015739	0.1349616	0.6539973	0.8612375	0.5357374	0.4887853	0.7811685	0.8005381	0.5758979	0.0139860	0.0558649	0.5683424	0.0561000	0.6728243	0.1542537	0.6314886	0.0565888	0.3952656	0.0511734	0.5590859	0.5775355	0.2151877	0.2229887	0.5680367	0.5857077	0.0168051	0.7415233	0.0093769	0.0877128	0.7411534	0.5455037	0.6135972	0.5017518	0.0176466	0.6993697	0.7545739	0.7959601	0.7130315	0.6319023	0.6882890	0.2505229	0.1087711
850	0.2989040	0.3088779	0.0219114	0.3803743	0.2770330	0.6360818	0.7168071	0.5487366	0.5713617	0.7928409	0.7255175	0.5348934	0.0231241	0.0907649	0.4337688	0.0636709	0.6256567	0.2293540	0.6713911	0.0626956	0.2521852	0.0315240	0.5856827	0.5715900	0.2555701	0.2703128	0.6474691	0.6082055	0.0468705	0.8319600	0.0074492	0.0628582	0.6608607	0.4841293	0.6111325	0.5237596	0.0076205	0.7071695	0.6269361	0.8206187	0.6794163	0.5577319	0.6125941	0.2879667	0.1236097
900	0.2068086	0.3973466	0.0082015	0.2343796	0.2766470	0.7727998	0.5548404	0.4912407	0.3843865	0.7463349	0.7407578	0.5134103	0.0190924	0.0206134	0.4014097	0.0496080	0.6829222	0.2233091	0.7604412	0.0936802	0.3353519	0.0387706	0.5240765	0.6147236	0.2398864	0.2797467	0.6204621	0.6483628	0.0294433	0.7119367	0.0174788	0.0789022	0.7279315	0.4548448	0.6479056	0.5478533	0.0142287	0.7609464	0.6451871	0.7096610	0.5163189	0.6379538	0.7052665	0.2351877	0.1367495
950	0.3041953	0.4317798	0.0097245	0.1845757	0.2294294	0.7860690	0.6422751	0.6214197	0.5562022	0.7366169	0.7801279	0.5160508	0.0098432	0.0308994	0.5508136	0.0462481	0.6570546	0.1976673	0.7517889	0.0862921	0.3847820	0.0655703	0.5770060	0.4343484	0.2013279	0.2809810	0.7152534	0.6770033	0.0092715	0.7933679	0.0095866	0.0495480	0.7169296	0.4209235	0.6889374	0.4112282	0.0206231	0.7720760	0.7161617	0.6740110	0.6037649	0.7598630	0.5740159	0.2397236	0.1041397
1000	0.2108287	0.3937528	0.0255384	0.2863916	0.1863105	0.6941887	0.7709002	0.6034089	0.4980933	0.6758237	0.6369801	0.6143572	0.0053766	0.0220685	0.4740548	0.0986042	0.6637950	0.3147778	0.7955778	0.0718900	0.3974983	0.0260758	0.6391553	0.3790140	0.2047331	0.2835852	0.7832478	0.5199061	0.0165016	0.5976826	0.0423096	0.0640575	0.6808358	0.4069733	0.6799485	0.5278776	0.0099371	0.7656413	0.6863708	0.6398166	0.6623812	0.5997421	0.7233384	0.2913837	0.0549736

0	0.2950684	0.3957370	0.0059568	0.2093733	0.1687821	0.5693645	0.6455636	0.5180030	0.5453528	0.6836716	0.6493802	0.4585003	0.0334041	0.0375154	0.4824387	0.0820345	0.6848425	0.2842829	0.7324146	0.0906793	0.2917500	0.0269825	0.6185426	0.4139776	0.1974588	0.2836492	0.8557064	0.6385510	0.0207556	0.7751873	0.0035986	0.1025928	0.7152552	0.5744613	0.6390539	0.5893986	0.0255632	0.6768667	0.8306483	0.7907424	0.6754767	0.6423592	0.7511281	0.2463587	0.0906423
50	0.3777304	0.2741240	0.0366864	0.2182368	0.2980144	0.6086972	0.6775374	0.6351165	0.6094862	0.8805439	0.1686632	0.5189231	0.0131123	0.0344098	0.1815263	0.0127132	0.6797511	0.3402887	0.6771116	0.0920652	0.3526070	0.0291018	0.4074589	0.1570695	0.2126828	0.2304960	0.7746324	0.6322886	0.0089797	0.4586381	0.0007755	0.0733645	0.4726927	0.5355658	0.6651158	0.5525214	0.3065000	0.7103750	0.6930607	0.4360022	0.5747325	0.6983211	0.6331685	0.0753410	0.0749985
100	0.2181174	0.3016321	0.0156734	0.1693436	0.4683576	0.8226448	0.5567846	0.6156107	0.4983265	0.6712961	0.0982979	0.5672908	0.0075394	0.0204752	0.1265118	0.0489720	0.6721757	0.2766464	0.7370566	0.1150277	0.2534379	0.0369335	0.6266575	0.0768775	0.1642787	0.2864609	0.6956429	0.5750087	0.0062897	0.4040341	0.0160939	0.0605731	0.6526356	0.6766833	0.7360104	0.5219306	0.4335822	0.6408641	0.7089830	0.3764028	0.5208002	0.7086419	0.6610711	0.0786706	0.1261427
150	0.2861294	0.3772156	0.0077329	0.1637126	0.5328815	0.7214390	0.4998347	0.5303968	0.4233021	0.8841066	0.0283683	0.4804897	0.0060914	0.0318206	0.1462418	0.1071014	0.7874300	0.2840062	0.6536875	0.0938332	0.3496562	0.0255586	0.6239296	0.0495268	0.1465190	0.2231100	0.6926113	0.5791847	0.0001022	0.4041094	0.0059587	0.0451514	0.6116824	0.6053593	0.6558119	0.5190245	0.5105784	0.5871140	0.5618887	0.4369483	0.6509471	0.6718491	0.4729626	0.1327329	0.1764985
200	0.2405817	0.4890879	0.0254161	0.2769745	0.6109132	0.7136434	0.4801043	0.4758627	0.4678266	0.7506836	0.0419383	0.5088226	0.0062043	0.0240677	0.1137903	0.1134230	0.8552778	0.4674212	0.7177184	0.0710601	0.2865471	0.0564504	0.4939456	0.0395599	0.1753685	0.1596249	0.7392992	0.7281084	0.0270957	0.3480295	0.0036834	0.0808811	0.5542856	0.6330275	0.6737125	0.5159489	0.5294740	0.7140039	0.5556798	0.3501844	0.5491405	0.7274648	0.7386492	0.0979194	0.1880561
250	0.3700820	0.3073609	0.0056636	0.1387812	0.5302831	0.8132102	0.4494959	0.5675528	0.4214118	0.7041470	0.0171284	0.4905586	0.0147357	0.0256320	0.1424205	0.0789463	0.7415121	0.3033758	0.6755674	0.0890132	0.3227184	0.0234030	0.6260765	0.0188479	0.2177816	0.2475507	0.6627480	0.6730205	0.0353963	0.4089751	0.0029918	0.0771595	0.4706570	0.5785872	0.7100652	0.4249598	0.5161536	0.5937234	0.5092933	0.3769148	0.5139491	0.7073735	0.5352299	0.1311337	0.1795867
300	0.2900598	0.3436143	0.0054685	0.2032086	0.5043681	0.7352674	0.5554137	0.6230451	0.5263745	0.6322331	0.0403089	0.4735735	0.0236264	0.0530438	0.1209530	0.1374925	0.6746157	0.3190494	0.8167452	0.0788328	0.3020755	0.0367425	0.5241139	0.0206036	0.1852163	0.1932338	0.8554586	0.4892428	0.0076745	0.3820909	0.0418219	0.0989178	0.5837704	0.6240015	0.6480889	0.3662997	0.3704459	0.5849053	0.5444449	0.3440787	0.5467394	0.6097961	0.4815146	0.1160792	0.1617805
350	0.2163858	0.3624486	0.0186051	0.2832527	0.4487526	0.7491723	0.6039038	0.5533819	0.4642911	0.6014563	0.0229305	0.5815414	0.0092342	0.0485196	0.2090974	0.1515335	0.8244192	0.2890137	0.6722228	0.0972539	0.2969538	0.0193867	0.6259270	0.0135297	0.1701645	0.2602723	0.6652845	0.5495747	0.0106120	0.4447418	0.0177483	0.0695156	0.5124627	0.6878628	0.7443025	0.3807556	0.4479900	0.7737150	0.6457255	0.3311171	0.6121036	0.6653473	0.6186385	0.1720509	0.1995484
400	0.3008121	0.2800632	0.0147592	0.1699656	0.5004335	0.6680246	0.4660391	0.4249861	0.4375042	0.5900734	0.0244374	0.5775223	0.0108347	0.0302340	0.0946263	0.0670790	0.7217713	0.3147608	0.6402821	0.0839348	0.3383868	0.0285904	0.4961286	0.0125706	0.1653948	0.3364580	0.7252350	0.6185500	0.0089789	0.4209615	0.0216536	0.0764610	0.5490552	0.5410939	0.5773256	0.3636850	0.6128840	0.7583697	0.6937137	0.3509744	0.5154771	0.6302231	0.5670315	0.1030963	0.1575194
450	0.2925427	0.2796347	0.0255348	0.2608658	0.5585584	0.6108371	0.3703285	0.5882085	0.4319155	0.6940449	0.0460899	0.4670719	0.0086271	0.0133765	0.1379176	0.0413563	0.6802633	0.3715374	0.8109744	0.0694119	0.3392412	0.0376794	0.5532510	0.0218179	0.2303279	0.4005740	0.8221888	0.6422325	0.0122463	0.4264220	0.0145750	0.0796779	0.5451831	0.5199758	0.6140225	0.4399666	0.5548206	0.7147202	0.6029514	0.3339444	0.5007559	0.6220433	0.5900563	0.0906222	0.2167827
500	0.1768649	0.2695142	0.0099928	0.2946315	0.5918427	0.7977432	0.3815066	0.6862715	0.4385407	0.7323423	0.0260895	0.5139066	0.0134740	0.0253176	0.1479873	0.0728556	0.7423726	0.3538636	0.7059935	0.0719670	0.4361011	0.0362261	0.5022157	0.0313784	0.2204953	0.2711020	0.8373951	0.6528501	0.0048693	0.4818597	0.0145065	0.0779318	0.6734328	0.6094325	0.6887982	0.4453669	0.5369879	0.6607655	0.6350414	0.4099979	0.6137375	0.5996314	0.5242531	0.0824865	0.1576812
550	0.2266970	0.3331023	0.0235584	0.3735088	0.3287778	0.7046218	0.5292688	0.5565391	0.4921524	0.7423041	0.5631711	0.4581750	0.0024566	0.0458519	0.3384308	0.0717109	0.8149768	0.3594960	0.7013504	0.0854020	0.3602526	0.0347417	0.5840719	0.3441978	0.2247633	0.1946872	0.7286388	0.6720187	0.0149703	0.6583663	0.0185252	0.0518698	0.6672354	0.5614502	0.6312042	0.4733857	0.2220077	0.7515307	0.6111002	0.5925376	0.7301592	0.7309817	0.6957829	0.4053915	0.1559529
600	0.2110084	0.2853138	0.0309297	0.3145105	0.2193037	0.7656198	0.6149450	0.6464967	0.4105340	0.6903277	0.6875849	0.5293217	0.0058326	0.0226057	0.4077739	0.0470681	0.7051058	0.2395766	0.5146952	0.1104825	0.3873202	0.0404556	0.6649655	0.4609021	0.2159278	0.2109372	0.6680107	0.6171814	0.0121840	0.6307642	0.0079610	0.0648697	0.7114658	0.4704976	0.6575730	0.6270734	0.0867229	0.6712530	0.6745225	0.7042754	0.6871254	0.7566008	0.6715165	0.3704476	0.1710574
650	0.2281398	0.2912185	0.0122757	0.2959540	0.1690884	0.6457563	0.6834953	0.6131070	0.5414346	0.6897000	0.7218837	0.5319710	0.0072243	0.0345580	0.4261512	0.0186166	0.6724731	0.2799098	0.7387743	0.0497965	0.3440162	0.0361203	0.6149582	0.4911361	0.2214673	0.2690373	0.6660458	0.7059087	0.0199789	0.7916301	0.0050614	0.0549808	0.7408342	0.5145154	0.8133938	0.5908679	0.0232395	0.6626864	0.6511032	0.6524010	0.6486667	0.6097396	0.6742895	0.3378825	0.1475706
700	0.2208716	0.2765245	0.0259084	0.3352605	0.1681984	0.6328425	0.6435919	0.5756887	0.5188767	0.7471455	0.6927043	0.4469310	0.0132776	0.0258768	0.4549427	0.0638297	0.6800461	0.2672977	0.6135309	0.0480682	0.3444691	0.0145122	0.6188952	0.5840369	0.2506180	0.2874690	0.8371470	0.6041275	0.0065753	0.6701636	0.0127943	0.0504644	0.7925816	0.5478031	0.7656130	0.6015671	0.0140263	0.5997745	0.6568188	0.5966130	0.4917758	0.6448325	0.7486566	0.2831429	0.1225244
750	0.2973438	0.2780485	0.0241740	0.3367255	0.2594800	0.6612593	0.6137535	0.5430365	0.5358061	0.6486454	0.5837413	0.5302381	0.0075856	0.0426035	0.5320370	0.0514330	0.8413361	0.2660759	0.7180116	0.0804149	0.2801220	0.0649267	0.4334070	0.4615272	0.1710457	0.3767728	0.6195335	0.6637786	0.0111913	0.7367169	0.0030222	0.0364137	0.7157281	0.5100722	0.6967548	0.5682191	0.0239719	0.6977980	0.6530837	0.8698250	0.5968205	0.6387716	0.7420804	0.3100234	0.1204263
800	0.3124020	0.4072174	0.0182293	0.2075496	0.2057635	0.9298301	0.6172535	0.6247161	0.4836694	0.6023281	0.6985005	0.4887671	0.0321979	0.0227777	0.4885690	0.0774130	0.7376687	0.2886690	0.6775602	0.0879386	0.2950191	0.0641653	0.3853670	0.4602609	0.2384049	0.2690557	0.8363288	0.6232625	0.0126598	0.7429188	0.0161937	0.0660840	0.6844980	0.4718012	0.7385349	0.4418772	0.0195609	0.6957824	0.7289853	0.7487599	0.6088093	0.6345260	0.7654453	0.2384260	0.1157243
850	0.3097838	0.3212383	0.0107771	0.2623345	0.2196863	0.7294750	0.6374839	0.4985414	0.4180650	0.6440606	0.7274518	0.4552527	0.0049750	0.0675733	0.5041303	0.1257468	0.7071814	0.3010614	0.5940905	0.0716122	0.2933910	0.0327737	0.4744611	0.5271335	0.2454920	0.2259768	0.7262373	0.6397092	0.0246712	0.6493157	0.0058033	0.0708934	0.7494372	0.4583843	0.7083553	0.5034958	0.0457275	0.7009458	0.7104688	0.7592911	0.5394141	0.7122138	0.6463736	0.2712361	0.1568241
900	0.2857982	0.3776456	0.0050089	0.2249788	0.4041675	0.6317234	0.8331402	0.5303369	0.5309275	0.8088033	0.5938536	0.5472456	0.0034742	0.0177879	0.4551548	0.1298219	0.6946024	0.2651859	0.6422846	0.0858302	0.4900397	0.0207673	0.6287380	0.5287247	0.1803423	0.1991325	0.6147950	0.7366379	0.0165921	0.5944543	0.0183574	0.0991333	0.6556206	0.5049813	0.6855015	0.4286716	0.0275478	0.7124209	0.7044502	0.8950221	0.6762965	0.6749441	0.7351745	0.2227870	0.1046357
950	0.2321826	0.3991242	0.0150889	0.3334517	0.2992369	0.6697675	0.8002133	0.6003133	0.4557180	0.8039634	0.7549714	0.4525824	0.0123190	0.0315067	0.4613902	0.1171401	0.8276052	0.2011168	0.6348427	0.1326637	0.3599039	0.0132278	0.4981040	0.6139746	0.2076649	0.1729528	0.7359052	0.5348743	0.0232097	0.7621565	0.0137232	0.0768705	0.6752879	0.5164509	0.4725053	0.5714211	0.0055518	0.8046388	0.6464910	0.7243605	0.7527875	0.6122428	0.7107661	0.2734698	0.0813330
1000	0.2336256	0.3839164	0.0066196	0.2880930	0.1557851	0.7258597	0.6626404	0.5664766	0.5228090	0.7336352	0.6655097	0.4958584	0.0122843	0.0153519	0.4631347	0.0895001	0.7871317	0.3122896	0.8094929	0.0712859	0.2752522	0.0203398	0.5149281	0.6277077	0.2484110	0.1927944	0.7411788	0.7974167	0.0280278	0.7121772	0.0011264	0.0453962	0.7100308	0.4837524	0.6644494	0.4840044	0.0286172	0.6232069	0.7632499	0.7821676	0.6866357	0.4699874	0.7305162	0.2797731	0.0691332

0	0.2269945	0.3079252	0.0082377	0.2755167	0.2490524	0.6568128	0.6822354	0.5235737	0.5736372	0.6669363	0.7709520	0.5076813	0.0426431	0.0351704	0.4694235	0.0431156	0.7183775	0.3321947	0.7289258	0.0812815	0.4012500	0.0345100	0.6030831	0.4906882	0.2043139	0.2763563	0.6522905	0.5205968	0.0281392	0.8199933	0.0026831	0.0569012	0.6874448	0.4581029	0.6356734	0.5524523	0.0293106	0.6705923	0.5651123	0.7659592	0.6557138	0.6595696	0.6765688	0.2646348	0.1464053
50	0.3343293	0.4018354	0.0125195	0.2224490	0.2972665	0.5184627	0.6271233	0.5508058	0.4038779	0.4176909	0.6739425	0.6042241	0.0183377	0.1818446	0.3763930	0.0928309	0.7048588	0.2352731	0.2377951	0.2194465	0.3900434	0.3273742	0.3889429	0.4285952	0.2907514	0.2436006	0.4772634	0.4687391	0.0258697	0.7437180	0.0101343	0.0356868	0.7233237	0.4673092	0.6705397	0.5723050	0.0450032	0.6213726	0.6858205	0.7766561	0.6253792	0.5770212	0.7837879	0.2816692	0.1019256
100	0.4287854	0.3748041	0.0115540	0.2171324	0.3904444	0.4145193	0.6106283	0.5199076	0.2674182	0.3761694	0.6104312	0.5686344	0.0454093	0.2399420	0.4959940	0.1160844	0.8140649	0.3098226	0.1313660	0.3373576	0.3915479	0.2995641	0.2498343	0.5463513	0.1441373	0.2024112	0.3763178	0.3660836	0.0428783	0.8022257	0.0092314	0.0553245	0.7053277	0.3879254	0.6615421	0.6230058	0.0160720	0.7380760	0.6487075	0.7902200	0.7063383	0.5894515	0.7129098	0.2733034	0.1090281
150	0.4161438	0.4843964	0.0167487	0.2168560	0.5020608	0.4660875	0.5099659	0.3553931	0.2118373	0.2934961	0.7478610	0.3436000	0.0106824	0.2912815	0.5804296	0.3210321	0.6421153	0.2638781	0.0773758	0.3111647	0.3426831	0.3171707	0.1565142	0.5596962	0.2721722	0.1860574	0.3553186	0.2654597	0.0124352	0.8202319	0.0239213	0.0162423	0.7462319	0.4432702	0.5957408	0.7720669	0.0031005	0.8405862	0.7177694	0.7984331	0.6984512	0.6962173	0.8741469	0.2531477	0.0517572
200	0.4221190	0.4970200	0.0099147	0.2057793	0.5446375	0.5412402	0.4724360	0.4227846	0.1460868	0.2297072	0.6164818	0.4161310	0.0269180	0.2340681	0.5944287	0.2393098	0.6618780	0.3726926	0.0453264	0.3317055	0.3043640	0.3288727	0.2301174	0.5922197	0.3076929	0.2532331	0.3156169	0.0939740	0.0168298	0.7344377	0.0155234	0.0089957	0.7111487	0.4932821	0.6390273	0.7867442	0.0101974	0.7209420	0.6967243	0.6933036	0.6473987	0.5579256	0.7332048	0.2332944	0.0876253
250	0.4121887	0.5170727	0.0069877	0.1972010	0.5616718	0.5125328	0.2537723	0.3831081	0.1811626	0.2113456	0.7369295	0.4194954	0.0154509	0.3452798	0.4661508	0.2750144	0.7030463	0.2774184	0.0249420	0.2667902	0.3647401	0.2267388	0.2318006	0.6552883	0.2744115	0.1814038	0.3153547	0.0762178	0.0205233	0.7345298	0.0150723	0.0362754	0.7963225	0.4161325	0.7132978	0.6865249	0.0144104	0.7578063	0.4978155	0.7888312	0.7183633	0.6220777	0.6657544	0.2966285	0.0772348
300	0.4486232	0.5135049	0.0056392	0.2277184	0.7058355	0.4846248	0.3521108	0.3435622	0.1667316	0.3053666	0.7850276	0.4595747	0.0050720	0.2855504	0.6739693	0.3394677	0.7191506	0.2541488	0.0309150	0.2511058	0.2871455	0.3796680	0.2921961	0.7101750	0.4018340	0.2211215	0.3366796	0.0755408	0.0116763	0.7371508	0.0058651	0.0119044	0.6948118	0.4383664	0.7636351	0.7258920	0.0231876	0.7668908	0.4338063	0.6785166	0.6865032	0.6951505	0.7160127	0.4083773	0.0917847
350	0.5530257	0.4958456	0.0054550	0.2425125	0.6145619	0.5610703	0.3824636	0.4622269	0.1617029	0.2386867	0.6285926	0.3999138	0.0249707	0.3220024	0.5706739	0.3070206	0.8187066	0.2876074	0.0264338	0.3421332	0.4629502	0.3167244	0.2291143	0.7133949	0.4255037	0.2348520	0.2553265	0.0963437	0.0074350	0.7381555	0.0068735	0.0017996	0.7057127	0.4057730	0.7122846	0.6600184	0.0063614	0.8599722	0.6294785	0.6980840	0.6772534	0.6205215	0.6835256	0.2348156	0.1331701
