"Time"	G1	G10	G2	G20	G17	G4	G16	G9	G8	G11	G18	G94	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G15	G12	G44	G41	G22	G21	G50	G13	G51	G53	G52	G42	G55	G39	G49	G40	G45	G54	G47	G48	G61	G57	G43	G72	G67	G60	G59	G99	G58	G79	G81	G88	G83	G89	G82	G80	G84
150	0.2716150	0.3927756	0.2859765	0.6820241	0.4983610	0.3389451	0.0290303	0.3005388	0.4938249	0.2120600	0.3623271	0.7138150	0.7130086	0.1813518	0.2207054	0.5549945	0.0069266	0.7756173	0.8016368	0.5950184	0.6830314	0.5745991	0.1916639	0.1391767	0.6280929	0.5738905	0.1322781	0.7032414	0.1444155	0.1262504	0.1255602	0.5085700	0.3806868	0.3047354	0.4260178	0.4637799	0.0053175	0.5161114	0.5487701	0.3318403	0.1701581	0.6098769	0.3873849	0.8728469	0.6784016	0.4248752	0.0685784	0.6343544	0.3061019	0.1559670	0.6610626	0.5943324	0.5063775	0.0531992	0.6278493	0.7626101	0.6068913	0.1623675	0.3354063	0.4369781	0.6300697	0.6024155	0.1575613	0.8313874	0.4449980
200	0.2856465	0.3979057	0.3113023	0.6213474	0.5197450	0.3424321	0.0159013	0.3601911	0.6391100	0.1677060	0.3215021	0.6247516	0.8779458	0.1630247	0.1525308	0.5650055	0.0034185	0.7720062	0.7615207	0.5789362	0.5497325	0.7528409	0.1708989	0.1507337	0.5805930	0.6021878	0.1506905	0.7064078	0.0658000	0.1486472	0.2184950	0.3860431	0.4821689	0.3548472	0.3902893	0.5528557	0.0001672	0.5094737	0.5350213	0.2418200	0.2736862	0.5452468	0.6450851	0.7730884	0.8327866	0.4945180	0.0720248	0.5372113	0.3315205	0.1924630	0.4652303	0.6946354	0.5811367	0.0793406	0.6079040	0.5384890	0.7254273	0.0487787	0.3852625	0.4149752	0.5669345	0.4991455	0.1272696	0.7182105	0.5724043
250	0.2810191	0.5281786	0.2728681	0.6641421	0.5200729	0.3250792	0.0040405	0.3566306	0.5800219	0.1826501	0.3711773	0.8357506	0.6893020	0.1537869	0.2502686	0.6494193	0.0053854	0.7327824	0.7228873	0.5628883	0.6228303	0.6841023	0.1655624	0.1317235	0.5033016	0.5931310	0.1204456	0.7310357	0.0804525	0.1316328	0.1969154	0.3603846	0.4338391	0.3922747	0.3265319	0.3799805	0.0010815	0.5111483	0.6249105	0.3524474	0.2942761	0.4974533	0.4942624	0.8051562	0.5319121	0.3585280	0.0682448	0.6524356	0.2786348	0.1882834	0.4963829	0.6063127	0.5508401	0.0634429	0.6491737	0.9057774	0.5347012	0.0987137	0.3359910	0.5202119	0.5372349	0.5305847	0.1144657	0.6420409	0.6877791
300	0.2784564	0.3949436	0.2952292	0.6995188	0.4344610	0.4145737	0.0306554	0.3750695	0.5612862	0.1399356	0.3538515	0.7767259	0.6577641	0.1085274	0.2120191	0.5822463	0.0060762	0.7337394	0.6628856	0.6644111	0.5366116	0.7441583	0.1736921	0.1123163	0.6590196	0.5620497	0.1296799	0.7052716	0.0766653	0.1479076	0.2204533	0.4700517	0.5255370	0.3920007	0.3984709	0.4167328	0.0019756	0.5957065	0.6522137	0.3819521	0.3502349	0.4998127	0.4310106	0.7126907	0.7653413	0.3623204	0.0881651	0.6107377	0.2921025	0.2636945	0.6096137	0.6712710	0.6260186	0.0580202	0.5921090	0.6048084	0.5275397	0.0760599	0.2788476	0.3343210	0.6522097	0.5663993	0.1370209	0.5370935	0.5062512
350	0.2797753	0.4159751	0.2702423	0.6373917	0.5372445	0.4319668	0.0234377	0.3184166	0.4551638	0.1818971	0.4726428	0.6866424	0.7237428	0.1200045	0.2391036	0.5212339	0.0058865	0.7040408	0.8160257	0.6540955	0.5809215	0.6902580	0.1832146	0.0872385	0.7914332	0.6251501	0.0872451	0.6570610	0.1144379	0.2161088	0.2041798	0.3780968	0.6294961	0.3428073	0.4667269	0.4081688	0.0034762	0.6311813	0.6699940	0.4104908	0.2302704	0.5845255	0.4954998	0.7776828	0.6882030	0.3704729	0.0906013	0.5620908	0.2619994	0.2202346	0.4705178	0.5524226	0.5702765	0.0296614	0.7556411	0.7095578	0.6732463	0.0931084	0.2568651	0.3980142	0.5610820	0.5187708	0.1569581	0.6396396	0.4689604
400	0.3103099	0.4434098	0.3632392	0.6849172	0.5280091	0.4021790	0.0295950	0.3966160	0.4623020	0.1877805	0.4524435	0.7015137	0.6603370	0.1051775	0.2217792	0.5168766	0.0065504	0.8561086	0.7595473	0.6127820	0.5817131	0.7002601	0.2000427	0.1258379	0.6129202	0.5625446	0.0679918	0.6344807	0.1008541	0.1587470	0.2456728	0.3710620	0.5671371	0.3969250	0.3131639	0.5435774	0.0004152	0.4895490	0.7411579	0.4121117	0.2444115	0.6741743	0.6439811	0.7096338	0.8150819	0.4121979	0.1280507	0.6728417	0.2777567	0.2318426	0.4848099	0.7148124	0.4855698	0.0408231	0.7186705	0.7100294	0.5512622	0.1188450	0.3033249	0.4338405	0.6362230	0.5272367	0.1585109	0.6007775	0.5192258
450	0.4567581	0.3893168	0.2532449	0.6319506	0.6670309	0.3747998	0.0219680	0.2940860	0.4736935	0.1883855	0.4496631	0.8394385	0.7474863	0.1625916	0.2091795	0.7384582	0.0011780	0.6701303	0.6048241	0.7230548	0.6073032	0.7651322	0.1674483	0.0833801	0.5713504	0.5568536	0.1026510	0.5946349	0.0997731	0.2152690	0.2614852	0.3640161	0.4486293	0.2936715	0.3174389	0.4632665	0.0032018	0.6977080	0.5385365	0.3416914	0.3103320	0.4904982	0.5912709	0.6993787	0.7608238	0.4088061	0.0652985	0.7069684	0.2815926	0.2414331	0.5575722	0.6909920	0.5304000	0.0270533	0.8080362	0.8746404	0.6020416	0.0827160	0.2381004	0.2748775	0.5787849	0.6077080	0.2021149	0.6907066	0.4905289
500	0.3079176	0.3867321	0.2648676	0.6855540	0.5448068	0.4147945	0.0097879	0.3127388	0.6114207	0.2613791	0.4263561	0.6187843	0.6678221	0.2038122	0.2592690	0.5820109	0.0061923	0.6939553	0.6914817	0.6482556	0.5857912	0.7081299	0.2365550	0.0968526	0.6989981	0.5197620	0.1554989	0.6686636	0.0817701	0.1536973	0.2543283	0.4669115	0.4562088	0.3531886	0.4441227	0.4470675	0.0003487	0.5093679	0.6579908	0.4982227	0.3240568	0.4606918	0.5817132	0.6819877	0.7015614	0.3406067	0.0852559	0.7049033	0.3241337	0.2497393	0.5405207	0.6633959	0.6106177	0.0715196	0.7184142	0.7692639	0.6341051	0.1076866	0.2781886	0.3416378	0.6014019	0.5932846	0.1489202	0.7636131	0.6534491
550	0.2152518	0.3992089	0.3195684	0.5757235	0.6141817	0.3320499	0.0247509	0.1218304	0.5752062	0.5367309	0.4312753	0.6678300	0.6946677	0.6347537	0.1549377	0.5486016	0.0255256	0.6329530	0.7688816	0.6527308	0.5991122	0.7669044	0.1861467	0.1048156	0.6310408	0.5337500	0.1203497	0.6025905	0.1113460	0.2267617	0.1720338	0.4016007	0.1952893	0.3147464	0.3640689	0.5302392	0.0042415	0.2110114	0.6486066	0.3836978	0.3281654	0.5283898	0.4322418	0.7549857	0.6753261	0.3551456	0.0621948	0.5813527	0.2139612	0.2948133	0.3198987	0.6762413	0.4051518	0.0596779	0.6266029	0.7349558	0.6112708	0.1162485	0.2832133	0.3754367	0.5206524	0.5009795	0.2677532	0.8678531	0.4078936
600	0.3111363	0.4478054	0.2780898	0.6250682	0.6320551	0.3066398	0.0406527	0.1073365	0.5340140	0.4677496	0.3966453	0.6467453	0.7319137	0.6369676	0.1344206	0.4743724	0.0070635	0.6164163	0.8790157	0.8521705	0.6198085	0.8211520	0.2909534	0.1072590	0.6573137	0.5793006	0.1518721	0.6866273	0.1256759	0.1509836	0.1863320	0.6684964	0.1079311	0.2563562	0.3592048	0.4951305	0.0045637	0.1213915	0.6285019	0.3734475	0.4417725	0.6032457	0.3547922	0.6226987	0.6415658	0.4238121	0.0597883	0.6666468	0.3418070	0.1921564	0.3142127	0.6534050	0.3688818	0.0825010	0.7748102	0.6966203	0.6860720	0.1379324	0.3152446	0.4058889	0.4089172	0.5004214	0.3434854	0.6668175	0.3406178
