"Time"	G1	G3	G5	G8	G4	G83	G6	G7	G86	G85	G22	G87	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G19	G18
700	0.2108696	0.1240205	0.3833620	0.6610241	0.4650391	0.6541345	0.0392515	0.8931839	0.2549844	0.2900042	0.6816915	0.3120612	0.0577930	0.0151172	0.6112699	0.6456805	0.2076355	0.6136597	0.3145105	0.6731109	0.2433378	0.3094350	0.4252548	0.4825012	0.5468945
750	0.2051083	0.1082667	0.3880236	0.5007478	0.4646418	0.7842371	0.0307148	0.7170277	0.1973661	0.3038811	0.6624544	0.2783550	0.0705623	0.0041655	0.5876343	0.6098650	0.1997847	0.6872573	0.5340589	0.4224207	0.2209415	0.1944410	0.3634428	0.5876146	0.6483133
800	0.1866854	0.1204604	0.3972192	0.4928953	0.5519506	0.8166858	0.0809394	0.5517014	0.2143733	0.2632886	0.6127928	0.3858402	0.0655637	0.0004489	0.7331329	0.7686797	0.2933224	0.6866440	0.6696255	0.2104784	0.1697946	0.3364083	0.5007318	0.5298488	0.5583119
850	0.2262741	0.2054889	0.3724502	0.5205201	0.5975595	0.7427342	0.0381693	0.8064983	0.3172396	0.3259408	0.7734312	0.4991159	0.1991768	0.0103436	0.6625565	0.7349783	0.2482323	0.5771418	0.5930830	0.3243711	0.1651366	0.1906973	0.4618416	0.5057984	0.7067059
900	0.1717758	0.2073591	0.2798859	0.4607134	0.4876995	0.5486572	0.0371515	0.6043876	0.2738146	0.3772500	0.7599569	0.4378987	0.3559018	0.0067891	0.6050304	0.7358172	0.1667066	0.7219317	0.6519288	0.4453777	0.2120991	0.2743608	0.4235417	0.6944747	0.6704811
950	0.2461537	0.1091054	0.3447327	0.4251756	0.5791140	0.7349423	0.0309467	0.7167582	0.3216612	0.2432917	0.7658008	0.3386117	0.2681743	0.0137249	0.6529605	0.7756823	0.1102782	0.6790389	0.5132695	0.5896372	0.1484273	0.2836050	0.4033065	0.6661720	0.6893176
1000	0.1512859	0.1049852	0.4380258	0.4661966	0.5100930	0.6367304	0.0338526	0.8000092	0.2645554	0.2995325	0.6319864	0.3997326	0.2653592	0.0111850	0.5270683	0.6578091	0.1755867	0.5696156	0.4374868	0.6572024	0.1919701	0.3602662	0.3880336	0.4756392	0.5833900

0	0.1787718	0.1446227	0.4174162	0.4625390	0.5448498	0.7784939	0.0214377	0.7764825	0.2074285	0.2947561	0.5907873	0.3394937	0.2045029	0.0132801	0.6337817	0.6897520	0.1442564	0.7145953	0.4824080	0.5844017	0.2311500	0.3586801	0.4081258	0.5737704	0.7135486
50	0.2596250	0.1063167	0.3760682	0.1551318	0.4448756	0.1431560	0.0104231	0.6409062	0.2256115	0.2309613	0.3429861	0.4176532	0.2084806	0.3803073	0.7334013	0.5748526	0.2846122	0.7985770	0.5387665	0.4848943	0.0693108	0.2849493	0.4623682	0.4300197	0.2092014
100	0.4716586	0.1680188	0.4211285	0.0842922	0.6850627	0.1003050	0.0046022	0.7227758	0.1789916	0.3144042	0.4750399	0.4086515	0.5674782	0.5023752	0.5837431	0.6268243	0.1140243	0.7576074	0.4676199	0.4505527	0.0963725	0.2941235	0.4652209	0.2875803	0.0891351
150	0.6048865	0.3368277	0.2691839	0.0175023	0.6569840	0.0782608	0.0004294	0.6460698	0.2041283	0.2545271	0.3483302	0.3684843	0.6552667	0.5190497	0.6163716	0.7571632	0.0955997	0.6491943	0.3018394	0.5755009	0.1026933	0.4333568	0.4778074	0.2224365	0.0815407
200	0.5694836	0.4392555	0.2126867	0.0137447	0.6327195	0.0873569	0.0003600	0.3289438	0.1021590	0.1279186	0.4039517	0.2538302	0.5813388	0.4004264	0.5778580	0.7200587	0.0742602	0.6367806	0.2761340	0.6925096	0.0985309	0.3774571	0.3874306	0.2046098	0.0756006
250	0.5770759	0.5106945	0.1942400	0.0065136	0.6947103	0.1179814	0.0001263	0.3734385	0.1537670	0.1651941	0.3577483	0.2623976	0.5125296	0.4218266	0.5286251	0.7704941	0.0385804	0.7602497	0.1691372	0.7087559	0.1784905	0.4560874	0.4169842	0.2531106	0.0516735
300	0.5162050	0.4942003	0.2115574	0.0038876	0.6425632	0.0933878	0.0000000	0.3335227	0.0636627	0.1098117	0.4157295	0.2022918	0.3437036	0.4788765	0.4487497	0.6924780	0.0617509	0.6774869	0.1484915	0.6429976	0.2000750	0.4616754	0.3553978	0.3294825	0.0730224
350	0.7196932	0.4449760	0.1273246	0.0247057	0.5461293	0.1414375	0.0000043	0.2888263	0.0684472	0.1725368	0.4014341	0.2346047	0.1241144	0.4511618	0.4467578	0.6386465	0.0589205	0.5480744	0.1697465	0.5192349	0.2822757	0.4982889	0.3262430	0.2314320	0.0727192
400	0.7462925	0.4412954	0.1535837	0.0026370	0.6327935	0.1071615	0.0014560	0.2684818	0.0906700	0.2648446	0.5165705	0.3579557	0.0862022	0.4648007	0.6032221	0.5847480	0.1612927	0.7453355	0.2802458	0.5074467	0.1628760	0.3316644	0.4649624	0.2776882	0.0567055
450	0.8226348	0.4941261	0.1483763	0.0017346	0.7499084	0.1008942	0.0088386	0.2689634	0.0710843	0.3413247	0.2977376	0.4273266	0.2252554	0.3682072	0.6281624	0.6985716	0.2133363	0.6130904	0.4379649	0.4281573	0.0939252	0.3209977	0.3561733	0.1931202	0.1496918
500	0.6453382	0.5666674	0.1755626	0.0051198	0.7403009	0.0755974	0.0000944	0.1624719	0.0833287	0.3523684	0.4319706	0.3703549	0.5268792	0.4756491	0.7086172	0.7311004	0.1226571	0.7044927	0.4340402	0.6088525	0.1740764	0.3696991	0.3269583	0.2052844	0.0872987
550	0.5778096	0.6061527	0.1929870	0.0272845	0.7050135	0.5840272	0.0281131	0.2752772	0.1554142	0.2272127	0.7197938	0.2429759	0.6915705	0.0797177	0.5991474	0.7438769	0.0629537	0.5911197	0.2432250	0.6833749	0.2820632	0.3663766	0.3023487	0.3239691	0.5776764
600	0.4920149	0.4796834	0.2327577	0.1217130	0.7268342	0.6217439	0.0102514	0.4138589	0.1011605	0.1791614	0.5935903	0.1819116	0.3235700	0.0088976	0.4799701	0.7177740	0.1090850	0.6270535	0.2155688	0.7263391	0.2876328	0.4384302	0.2808564	0.4332864	0.6237132
650	0.2718653	0.3436497	0.2226319	0.1475344	0.6481645	0.6703957	0.0276512	0.5621674	0.1434690	0.2780186	0.6815113	0.3155110	0.1149395	0.0205641	0.5439039	0.7133048	0.1311949	0.6799077	0.2235648	0.5767260	0.3910067	0.2959999	0.3482019	0.5829005	0.6217226
700	0.3428070	0.2699659	0.1822503	0.2978989	0.7059795	0.7649825	0.0426969	0.5849958	0.2361315	0.3933282	0.6294594	0.3394536	0.0851607	0.0256583	0.7155751	0.6108751	0.1544626	0.5926059	0.3139153	0.6847773	0.2339220	0.3446252	0.4123362	0.6578774	0.6796190
750	0.1828705	0.2167316	0.3857518	0.3434975	0.5037838	0.6707453	0.0377365	0.6641557	0.1695843	0.4189454	0.7660806	0.2898964	0.0815350	0.0193491	0.5833017	0.6963601	0.2333696	0.7117902	0.5567465	0.4433249	0.2315637	0.2399154	0.5179245	0.6351446	0.7045170
800	0.2042053	0.1465042	0.3684532	0.3379448	0.6364958	0.6276767	0.0254144	0.7467374	0.1734153	0.3913784	0.6616948	0.2900849	0.1316442	0.0045098	0.7098352	0.5451374	0.2315476	0.6801445	0.6568831	0.1703339	0.1690879	0.2632437	0.4009200	0.7003723	0.6805332
850	0.1645858	0.1792782	0.3357918	0.4461077	0.6170585	0.6757202	0.0702641	0.5941414	0.2468563	0.2600394	0.5764476	0.3509105	0.2293536	0.0037481	0.7355787	0.5855711	0.1730848	0.6731286	0.5563178	0.2563226	0.1897919	0.2634589	0.3811557	0.5590177	0.7819205
900	0.1540670	0.1048733	0.4016829	0.5002387	0.4248929	0.6841745	0.0687122	0.5495563	0.2713037	0.3626889	0.6650570	0.3102754	0.3412450	0.0051703	0.5942084	0.6634863	0.1875305	0.6348480	0.6991334	0.5254418	0.1783856	0.3078624	0.4118815	0.6302302	0.5719421
950	0.2243702	0.0662543	0.4267045	0.5015991	0.5931126	0.6884344	0.0509611	0.7184928	0.2276022	0.2513356	0.7458350	0.3455341	0.2943047	0.0049947	0.5627315	0.7103104	0.1241508	0.6656986	0.3837682	0.5847617	0.2146535	0.2774422	0.4335380	0.6961682	0.6776913
1000	0.1881132	0.1295557	0.3170193	0.5052623	0.5661195	0.7191127	0.0369485	0.8791671	0.3022869	0.3011346	0.7169238	0.3851090	0.1991330	0.0041110	0.5679574	0.6505805	0.0969535	0.6265906	0.3320047	0.7155202	0.3129233	0.4162082	0.5450105	0.6460437	0.6301587

0	0.2150768	0.0811897	0.4619120	0.5313018	0.5471089	0.6941279	0.0611704	0.7577280	0.2240463	0.3621423	0.6099263	0.3579085	0.1940286	0.0080846	0.5796005	0.8010818	0.1311046	0.6052975	0.4804750	0.6054720	0.2781424	0.3197428	0.4359775	0.7683218	0.7537402
50	0.1569531	0.0880024	0.0833621	0.4695161	0.4165291	0.4663663	0.0189960	0.6906605	0.3300103	0.0628505	0.8573360	0.2623054	0.2212855	0.0089832	0.5369643	0.7392422	0.0524561	0.6883225	0.2067943	0.6898657	0.1865100	0.4529341	0.6188757	0.6667411	0.6940177
100	0.1795202	0.1081629	0.0618184	0.4303552	0.4263871	0.4758924	0.0480414	0.7054950	0.2579488	0.0085942	0.6484451	0.3850256	0.2557569	0.0231657	0.6479864	0.6524748	0.0928462	0.5925010	0.1057809	0.6114489	0.2147968	0.5169445	0.6410628	0.5621190	0.5767907
150	0.2241121	0.1133917	0.0463376	0.4593894	0.4353846	0.6083327	0.0190907	0.6515930	0.3086732	0.0260003	0.7089448	0.3784734	0.2024183	0.0128206	0.5195908	0.6943953	0.1289712	0.5393540	0.0934404	0.6215922	0.1821290	0.4987239	0.6652147	0.5556068	0.5250871
200	0.1370177	0.1085830	0.0381545	0.4724181	0.5185468	0.5916425	0.0230794	0.5728467	0.1735458	0.0088431	0.5479928	0.4091068	0.1748184	0.0092328	0.5508123	0.6026603	0.1395984	0.4296217	0.0564409	0.6966016	0.1563310	0.4442743	0.6734882	0.5502758	0.5181280
250	0.2353185	0.1508497	0.0217059	0.4773642	0.6279031	0.6373332	0.0601956	0.7704285	0.2107491	0.0161832	0.8245679	0.3723796	0.2112233	0.0116733	0.8257212	0.6574990	0.1758565	0.5509421	0.0510855	0.7181821	0.2054908	0.4637719	0.6159540	0.5422003	0.5123836
300	0.2396164	0.1206652	0.0523365	0.4345400	0.5619969	0.6178473	0.0232923	0.6635248	0.1910725	0.0062058	0.6964693	0.4396543	0.2632981	0.0051297	0.5977172	0.7755134	0.1339279	0.5258408	0.0374155	0.5569249	0.1824328	0.5225895	0.5990610	0.4760397	0.5026297
350	0.1924954	0.1957120	0.0518257	0.3884615	0.6186983	0.7051619	0.0206370	0.8618899	0.2255653	0.0115628	0.7551669	0.3790520	0.3873751	0.0130352	0.6595772	0.6276136	0.1640114	0.6281375	0.0384830	0.7326517	0.1531434	0.5595375	0.6088746	0.5136045	0.6906938
400	0.1758393	0.1155096	0.0372620	0.4122331	0.5176746	0.5735230	0.0597180	0.6792129	0.3534380	0.0157612	0.5533821	0.4009889	0.3543272	0.0102564	0.6230592	0.6818721	0.0992532	0.6068076	0.0305888	0.6274356	0.1807307	0.5948818	0.6611985	0.5586903	0.5556114
450	0.1739410	0.1363310	0.0219324	0.5617376	0.4842253	0.6731080	0.0266212	0.5322532	0.3049337	0.0139936	0.6138782	0.3025454	0.4840468	0.0296192	0.5244378	0.6979401	0.0814825	0.5862105	0.0275842	0.6764164	0.1903519	0.4520158	0.5952583	0.7330815	0.5669929
500	0.1740407	0.1774575	0.0422272	0.4990547	0.4658946	0.6155417	0.0278911	0.6635467	0.2913034	0.0068510	0.7188704	0.3079181	0.3844818	0.0174847	0.5075329	0.6861430	0.0938995	0.4809921	0.0309553	0.7333497	0.2419592	0.5295063	0.7185925	0.6001371	0.6753074
550	0.2544287	0.1727175	0.2585216	0.4433730	0.6505406	0.7441249	0.0299551	0.7409656	0.2942811	0.1563180	0.6910092	0.3492978	0.1964689	0.0323458	0.4373610	0.6900445	0.1005957	0.5974442	0.0987425	0.6896418	0.3096897	0.4200234	0.4010825	0.6351093	0.6212592
600	0.2470088	0.1417786	0.2653401	0.4178837	0.6561165	0.6127180	0.0283674	0.7030461	0.3261932	0.2944403	0.6628984	0.3404766	0.1417068	0.0125081	0.5295958	0.6105658	0.2796723	0.6877286	0.2679751	0.6457815	0.3241328	0.3976925	0.3958945	0.4777068	0.6587626
650	0.1921129	0.1175307	0.3521782	0.5263011	0.4832365	0.7240988	0.0534533	0.6619827	0.2771024	0.3679264	0.8334732	0.2440643	0.0651124	0.0064767	0.6023634	0.6903010	0.1503887	0.7583050	0.4223357	0.5859026	0.2225514	0.2950129	0.3567585	0.5961626	0.6264314
700	0.1693516	0.1907712	0.4184881	0.4880349	0.6022415	0.6384564	0.0342618	0.7549044	0.2251939	0.3224314	0.7633562	0.2711682	0.0513692	0.0105009	0.5509368	0.6370663	0.1582312	0.6494035	0.4673442	0.5135105	0.2444583	0.3352792	0.4162409	0.6326583	0.7722490
750	0.1633751	0.1990298	0.4242265	0.4709803	0.5004659	0.7111133	0.0233565	0.6849364	0.1877735	0.2777276	0.6428871	0.4197280	0.0623759	0.0007776	0.6599457	0.6958883	0.3182644	0.5619814	0.4433760	0.2300572	0.1987228	0.3467844	0.4508215	0.5290760	0.5493940
800	0.2032585	0.1679865	0.3977510	0.4258859	0.5079544	0.6173924	0.0612384	0.7441614	0.2596049	0.3396170	0.6664690	0.4302171	0.1433443	0.0155065	0.7209162	0.6977106	0.3163802	0.6051167	0.5577609	0.1664637	0.1627656	0.2082104	0.3320505	0.7034649	0.7292036
850	0.2270853	0.1034557	0.3803580	0.4141424	0.5479428	0.6457154	0.0345433	0.5565103	0.2754793	0.4256869	0.5588873	0.3783495	0.3428696	0.0128293	0.8231549	0.8206170	0.2001426	0.6717635	0.5973333	0.2098915	0.2363027	0.2241428	0.3640287	0.6752263	0.7085270
900	0.2162314	0.1291542	0.3949150	0.4295244	0.4662034	0.5125263	0.0353026	0.5756259	0.1918715	0.3150653	0.7905598	0.3185311	0.5018750	0.0201050	0.5548108	0.7043942	0.1484954	0.7329620	0.5045656	0.6169012	0.1349832	0.3369018	0.3364689	0.6346429	0.7204177
950	0.2084374	0.2177610	0.4611687	0.4918928	0.4969178	0.6830346	0.0217220	0.5953499	0.2026971	0.2207291	0.6403969	0.3560202	0.5970955	0.0153593	0.5263528	0.7553296	0.0725316	0.6829134	0.3244727	0.6029519	0.1557398	0.3270217	0.4119476	0.6589121	0.8276935
1000	0.1602220	0.1391312	0.4772504	0.4888840	0.6014162	0.7339583	0.0237175	0.6413867	0.2041028	0.1966802	0.7363715	0.2286625	0.2782389	0.0162758	0.5185818	0.7484741	0.0609522	0.5884869	0.2220286	0.6107112	0.2543891	0.2979326	0.4750044	0.6945637	0.6852986

0	0.1528251	0.2357258	0.4056725	0.5569944	0.6220155	0.8374486	0.0265357	0.6885346	0.1635688	0.3312879	0.5992229	0.3205724	0.1994596	0.0301424	0.6106671	0.7391103	0.1396784	0.6678155	0.4755334	0.5829052	0.1976359	0.4646470	0.4373526	0.6248288	0.6476321
50	0.2153499	0.1206159	0.3607409	0.4525048	0.5579245	0.6617437	0.0135584	0.6624378	0.4232975	0.2944874	0.6934846	0.3039462	0.2519939	0.0022839	0.6488266	0.6337597	0.0676390	0.8426421	0.5029318	0.5090094	0.2184703	0.2081996	0.3375617	0.7636360	0.6977172
100	0.1385821	0.0925438	0.3396626	0.3977334	0.5515704	0.8082780	0.0468023	0.6903325	0.4230442	0.3497445	0.6913298	0.3459192	0.0580069	0.0474189	0.7573453	0.6732734	0.0330712	0.7005921	0.3946381	0.5214578	0.3193109	0.3098654	0.5174267	0.7169091	0.7538535
150	0.1965736	0.1369710	0.3280536	0.4320336	0.5065247	0.5689989	0.0254475	0.9308457	0.5336006	0.3317375	0.8647171	0.4091735	0.0327535	0.0096435	0.6060967	0.7336672	0.0303067	0.6634973	0.4709199	0.2853629	0.5530205	0.2022268	0.3608903	0.6782136	0.6879753
200	0.1503224	0.0977955	0.4100437	0.5490669	0.4564393	0.8404332	0.0327688	0.7813247	0.5136184	0.3313914	0.7098200	0.2998379	0.0156762	0.0044954	0.6814323	0.7379382	0.0922829	0.7703920	0.5149880	0.1664558	0.3752182	0.2491548	0.3928608	0.5942218	0.7498086
250	0.2697529	0.1295566	0.3578930	0.4499100	0.4605070	0.7606103	0.0207972	0.5555585	0.4392445	0.3618906	0.5766671	0.2958456	0.0199187	0.0132911	0.7409549	0.6640507	0.0542167	0.5849199	0.5978733	0.0496741	0.3569507	0.1863582	0.4238353	0.5813408	0.6363131
300	0.1975680	0.1528176	0.3627794	0.4391095	0.5808056	0.6761378	0.0274709	0.5813980	0.3681250	0.4012403	0.7743913	0.2782713	0.0199469	0.0074765	0.6828679	0.5893982	0.0686348	0.6522920	0.5734774	0.0385015	0.3355931	0.1909096	0.3928019	0.6285419	0.6718699
350	0.1480216	0.1266422	0.4395842	0.3691961	0.5580130	0.6612669	0.0253198	0.7191610	0.4034884	0.3945754	0.6915693	0.2491175	0.0059629	0.0082092	0.7670289	0.5957085	0.0819840	0.6679880	0.6166833	0.0402784	0.2800336	0.2638687	0.4168312	0.4962082	0.6494994
400	0.1738574	0.1867206	0.4176427	0.5463093	0.5914540	0.6083343	0.0343930	0.6410494	0.4120762	0.3977910	0.7814724	0.3012206	0.0142132	0.0018184	0.6790514	0.6335722	0.0562788	0.7236529	0.6825203	0.0086482	0.3604208	0.1910088	0.3560598	0.4146522	0.8178226
450	0.0990394	0.0937154	0.3866922	0.5003502	0.5429293	0.5817830	0.0591112	0.6156616	0.4713785	0.3263636	0.7852886	0.3044733	0.0376077	0.0083898	0.7097301	0.6594883	0.0755100	0.5931854	0.4962630	0.0187518	0.2744017	0.2306784	0.3897309	0.6419306	0.7078138
500	0.1735643	0.1516179	0.2667015	0.5276463	0.5610903	0.6249875	0.0352982	0.6502826	0.4562143	0.4204232	0.5437806	0.3575533	0.0299584	0.0026408	0.7033861	0.5964904	0.0561376	0.7187961	0.6716672	0.0178926	0.3685967	0.2308770	0.4930413	0.5678165	0.7459272
550	0.1869454	0.1028363	0.3527612	0.5226201	0.3821123	0.7099570	0.0312044	0.7551306	0.3184167	0.3351564	0.7068034	0.3612216	0.0414510	0.0146884	0.7142384	0.7118145	0.2823009	0.5755938	0.6734833	0.0328747	0.2775937	0.2432811	0.3955820	0.6737910	0.6269776
600	0.2095424	0.1097470	0.4886446	0.4491973	0.4986894	0.8078640	0.0331479	0.6603651	0.3646348	0.3059496	0.7175267	0.2846226	0.0845196	0.0023591	0.6550651	0.7343683	0.2845493	0.6963372	0.7438192	0.0237188	0.1890147	0.3077952	0.4172470	0.6624487	0.7026845
650	0.1966208	0.1359256	0.4823828	0.4021707	0.4001594	0.6151863	0.0375706	0.6980076	0.2547945	0.3640434	0.7069402	0.3625640	0.2781658	0.0124800	0.7827913	0.6002978	0.3354579	0.6815711	0.6217025	0.0719188	0.2146280	0.2981369	0.4394208	0.6579186	0.7345770
700	0.2234678	0.1155867	0.2932856	0.6074392	0.5508378	0.6781320	0.0183362	0.7653705	0.3106333	0.3843386	0.8028026	0.4772002	0.2787825	0.0109653	0.7928044	0.6855076	0.1901478	0.7160476	0.6072597	0.4592683	0.2090037	0.2981461	0.4066652	0.7601569	0.6309358
750	0.1913061	0.0950814	0.3993573	0.4884167	0.6113433	0.7448281	0.0230660	0.6651494	0.2725589	0.2869654	0.7274879	0.3548348	0.2461745	0.0216375	0.5985187	0.7617707	0.1305656	0.6512396	0.4836636	0.6197196	0.1386844	0.3218099	0.4785989	0.6419708	0.7229790
800	0.1564872	0.0753003	0.4299745	0.5391695	0.5901060	0.7522924	0.0777419	0.6979254	0.1636205	0.3107478	0.7346110	0.3915796	0.1732403	0.0042505	0.6414133	0.7670528	0.1509845	0.7275988	0.3506110	0.6870046	0.2025004	0.3387372	0.4701461	0.6355112	0.7707998
850	0.1569895	0.1314177	0.4428690	0.5460963	0.4840254	0.7206094	0.0460626	0.8150586	0.2798444	0.3444522	0.6332001	0.2984922	0.0981875	0.0052607	0.6565610	0.7202516	0.1781248	0.7430141	0.3810287	0.6374414	0.1680487	0.2590361	0.3638307	0.6346218	0.6745341
900	0.1603090	0.1367916	0.4882807	0.5154801	0.4019531	0.5930636	0.0228359	0.6858060	0.2864509	0.3910646	0.7123103	0.3830510	0.1412325	0.0061215	0.6265274	0.6563055	0.2106931	0.7405416	0.4191620	0.5491716	0.2210229	0.2984160	0.3376583	0.5758669	0.6138325
950	0.2325705	0.1178421	0.4114726	0.5139182	0.5795944	0.6395282	0.0617788	0.6858637	0.3252407	0.3008159	0.5769249	0.2882673	0.1862393	0.0300419	0.5507029	0.7279426	0.1877375	0.6798586	0.4926044	0.4617297	0.2591464	0.2253332	0.3934889	0.5629772	0.7316231
1000	0.2147504	0.1140802	0.4626522	0.5361555	0.5545536	0.6889221	0.0461861	0.6702106	0.3400900	0.2941919	0.7462879	0.2633454	0.3302232	0.0297618	0.5905494	0.7516502	0.1721083	0.8284186	0.4783854	0.5356497	0.2318426	0.2526049	0.3780780	0.6274758	0.7398425

0	0.1307279	0.1215404	0.3630191	0.4884380	0.6351410	0.7401887	0.0459706	0.7104974	0.1953032	0.2691477	0.7494417	0.2716763	0.2169501	0.0055215	0.7318388	0.8607568	0.1386483	0.6682600	0.6004845	0.5202032	0.1918620	0.2583935	0.4607637	0.5990606	0.6497226
50	0.0804837	0.1327805	0.4007251	0.5028443	0.4323746	0.7234052	0.0482676	0.7008768	0.3292728	0.3710102	0.7526564	0.2523051	0.1301563	0.2829305	0.6624570	0.6610825	0.1329574	0.4740661	0.5184607	0.4188425	0.0584551	0.2567274	0.3686089	0.7357321	0.6387935
100	0.1138816	0.0884816	0.4040004	0.6088782	0.3680277	0.6601218	0.0458178	0.6450373	0.3544819	0.4112314	0.6643566	0.3032085	0.6219225	0.4235791	0.6499877	0.6595207	0.1446200	0.3988943	0.5360254	0.3710514	0.0381976	0.2582884	0.4623698	0.5446381	0.8607015
150	0.0724183	0.1111949	0.4553556	0.5411546	0.3169328	0.7552668	0.0416343	0.7014334	0.2867482	0.2280307	0.5454215	0.3353422	0.6398275	0.4180953	0.5430629	0.6737894	0.1614390	0.3233950	0.3567425	0.6697383	0.0973475	0.2742817	0.3442683	0.7552323	0.6418515
200	0.0868733	0.0449677	0.4368910	0.6490193	0.2348180	0.7820030	0.0573893	0.6246683	0.2291808	0.1201945	0.6851627	0.2140294	0.6885796	0.3910590	0.4772443	0.7209393	0.0560701	0.2712583	0.2444040	0.7044809	0.1035371	0.3897551	0.4063313	0.6334876	0.7754216
250	0.0960155	0.0248660	0.3688542	0.6058790	0.1857063	0.5975897	0.1262558	0.6113964	0.2886527	0.1262977	0.6946955	0.2212380	0.6250959	0.3550903	0.3902009	0.6343606	0.0867145	0.1171263	0.2308937	0.6629650	0.1283656	0.3340413	0.4480064	0.8230180	0.7796885
