"Time"	G1	G2	G10	G20	G4	G17	G16	G9	G11	G18	G94	G56	G3	G5	G19	G13	G12	G14	G15	G50	G41	G51	G53	G52	G42	G55	G21	G22	G54	G40	G49	G44	G35	G39	G45	G48	G95	G61	G47	G98	G43	G8	G72	G67	G57	G79	G60	G82	G88	G80	G84	G81	G83	G89	G85	G77	G78	G91	G90	G75	G86	G59	G58	G99	G92	G69	G93	G87	G68	G34
450	0.3811415	0.0002177	0.2133879	0.4147702	0.5965078	0.7161121	0.4446572	0.1355320	0.3655803	0.7978992	0.2689428	0.4468936	0.0012558	0.3074245	0.2814889	0.4791634	0.6401899	0.4324298	0.1599303	0.2366924	0.3640307	0.2355500	0.3504366	0.3975909	0.7728364	0.0116184	0.2224170	0.5218446	0.0109081	0.6890765	0.1979125	0.7247561	0.6091665	0.5648295	0.2564203	0.0174142	0.5648764	0.4294930	0.5623174	0.8222533	0.2711863	0.3538239	0.7762579	0.6703314	0.6366670	0.6958364	0.1419745	0.0070872	0.0226276	0.0016819	0.4378507	0.5799083	0.5978069	0.6870124	0.2253174	0.0237918	0.6315080	0.2839889	0.7411823	0.3482244	0.8072522	0.6493858	0.2471698	0.7436599	0.0144440	0.3430715	0.2641464	0.1815232	0.6794441	0.7692614
500	0.3650618	0.0005496	0.1836426	0.3687524	0.6517088	0.6022369	0.5304643	0.1350273	0.5587906	0.7082855	0.2104446	0.5329933	0.0005876	0.5373624	0.3714320	0.4439350	0.6650187	0.4175515	0.1214071	0.3484004	0.3957932	0.3731160	0.2768055	0.4217965	0.6600534	0.0229470	0.1689392	0.7328110	0.0166604	0.5620153	0.3216712	0.6589696	0.7241798	0.5503150	0.2744430	0.0600872	0.5896472	0.4610868	0.6022184	0.6808014	0.3216830	0.2555963	0.7466695	0.6015934	0.5588908	0.6743466	0.1949247	0.0053725	0.0142453	0.0007120	0.5715578	0.5263011	0.5466929	0.7297492	0.2728911	0.0077073	0.5713021	0.4118811	0.8645656	0.3577242	0.7940671	0.6888491	0.2472091	0.5869610	0.0095213	0.3160342	0.3000058	0.1637042	0.6870240	0.7586020
550	0.4119425	0.0012475	0.3046595	0.2009683	0.6597478	0.6145490	0.6183533	0.1290840	0.4711406	0.5321552	0.5291463	0.5172045	0.0008229	0.3752525	0.2736904	0.4369346	0.7198953	0.3807471	0.1988556	0.3001483	0.3293925	0.2789284	0.2716663	0.3296755	0.6367521	0.0223067	0.2716868	0.5055003	0.0026774	0.4863664	0.4043329	0.7108635	0.6501574	0.2455362	0.3120121	0.3254066	0.5552523	0.6180259	0.3598993	0.7061733	0.0489531	0.3599794	0.7037531	0.6370166	0.6674099	0.6768215	0.2095871	0.0029696	0.0086525	0.0202850	0.5814823	0.3870869	0.5263909	0.5331072	0.1947915	0.0300335	0.5674814	0.3561483	0.7674870	0.3096270	0.6777007	0.4523406	0.0847854	0.7323166	0.0138624	0.3480361	0.3673062	0.5155037	0.6295720	0.7522537
600	0.4320359	0.0024137	0.3704226	0.1707100	0.6617651	0.6639429	0.6050580	0.1063711	0.2939157	0.4508031	0.6268260	0.4931545	0.0005748	0.3343012	0.2423902	0.3704088	0.6507005	0.4770668	0.2823501	0.2331369	0.2279536	0.3233276	0.2413234	0.2906599	0.5141352	0.0548220	0.3290918	0.6240894	0.0155421	0.4121619	0.4565058	0.6186900	0.6449396	0.3853611	0.3383777	0.3667674	0.6927557	0.4236598	0.3187416	0.7594143	0.0270535	0.3277587	0.6780849	0.6757973	0.6706629	0.6283103	0.1903096	0.0037208	0.0018839	0.0146137	0.7281771	0.4111374	0.5089277	0.4285923	0.1977471	0.0258540	0.6035388	0.3768329	0.5646569	0.3162988	0.7379729	0.3712759	0.0554123	0.5782545	0.0458370	0.3199529	0.2873657	0.6335088	0.4073772	0.5974651
650	0.3695334	0.0012242	0.3764251	0.2262901	0.8422942	0.5608790	0.5826336	0.1658002	0.3428689	0.4700171	0.7216525	0.4123337	0.0012989	0.3281081	0.2685875	0.3725284	0.6914704	0.3993082	0.3235727	0.3059877	0.1871475	0.2882829	0.2462263	0.3152322	0.5443155	0.0315322	0.2355702	0.6421672	0.0209097	0.3890690	0.5497920	0.7455140	0.5918610	0.3245454	0.3835357	0.3175089	0.6418944	0.4124494	0.2822398	0.6603877	0.0357467	0.3630934	0.7478943	0.6248739	0.6388235	0.6399535	0.3040717	0.0104543	0.0058529	0.0025246	0.6597406	0.3225281	0.6326481	0.3774486	0.1704464	0.0192819	0.6276448	0.3688497	0.6495253	0.3327315	0.6598389	0.2989513	0.0259266	0.7654782	0.0211685	0.3315380	0.3240255	0.6415682	0.2963919	0.6773444
700	0.4621193	0.0039578	0.3535142	0.1248898	0.7957754	0.5489667	0.6172573	0.0694118	0.3948437	0.5398040	0.6531036	0.4749994	0.0042261	0.3972139	0.2692539	0.3085730	0.7129483	0.4673509	0.2535609	0.2529268	0.2241062	0.3467945	0.2916879	0.2916101	0.5645014	0.0204034	0.1893958	0.5188982	0.0146864	0.4724109	0.5210296	0.6529933	0.7684831	0.2495325	0.3575706	0.2904375	0.6273124	0.4980465	0.2422233	0.6662948	0.0063318	0.3873199	0.6895139	0.5422887	0.4800250	0.7265175	0.1962700	0.0152593	0.0031308	0.0040980	0.6924415	0.3788318	0.4713386	0.4150716	0.2259867	0.0198853	0.6604483	0.4133112	0.5584299	0.3909772	0.6587403	0.3229565	0.0426398	0.7276943	0.0337225	0.3170527	0.3149963	0.7245899	0.2524569	0.6690108
750	0.3705023	0.0016575	0.3872138	0.1424412	0.7057437	0.5249927	0.5571841	0.0625648	0.4175553	0.4650976	0.6607697	0.3875430	0.0030592	0.4475279	0.2820384	0.3214899	0.6465032	0.5774402	0.3372236	0.3115512	0.3206904	0.2171823	0.3275328	0.3609555	0.5020407	0.0181945	0.1649496	0.6696253	0.0104173	0.3615599	0.6033649	0.6538385	0.7247424	0.2329164	0.3635777	0.4472778	0.6753898	0.5114886	0.1831627	0.6642068	0.0193797	0.4432224	0.6751240	0.7844186	0.6230961	0.8721950	0.2068111	0.0146068	0.0115944	0.0200415	0.6513702	0.4953243	0.6529044	0.3887522	0.3176594	0.0199400	0.6112389	0.3796561	0.5686784	0.3172050	0.6843726	0.3268346	0.0252514	0.7378297	0.0262074	0.2963837	0.2875815	0.7041018	0.2710268	0.7279856
800	0.4815101	0.0001559	0.3400012	0.1597402	0.7016858	0.5997528	0.5337515	0.0799599	0.4752150	0.4772319	0.6538982	0.3983915	0.0051072	0.4021274	0.2620379	0.3621290	0.6716907	0.5652632	0.3954685	0.2412560	0.2599536	0.2940302	0.2372117	0.3377926	0.5349031	0.0412085	0.2492692	0.5565033	0.0078457	0.3967441	0.4573532	0.6767343	0.6337986	0.3239567	0.3499942	0.4272763	0.6509568	0.4857496	0.2281774	0.7762252	0.0195933	0.3024870	0.6506265	0.7229634	0.5918137	0.8271155	0.2162387	0.0033370	0.0027828	0.0148900	0.7962974	0.5005626	0.4345182	0.4270029	0.1892673	0.0198085	0.5482985	0.3074868	0.6633211	0.3795792	0.7173682	0.3280545	0.0091454	0.7380458	0.0544817	0.3543830	0.2352802	0.6491810	0.2132985	0.6651279
850	0.4582180	0.0014193	0.3157358	0.2537469	0.6706518	0.5384890	0.6040815	0.0734412	0.4011615	0.5475901	0.7703016	0.5913303	0.0130387	0.4242236	0.2871638	0.2783928	0.7452218	0.5140782	0.2842952	0.2129496	0.2478197	0.3406872	0.2360261	0.2630405	0.6028093	0.0250812	0.2251986	0.5853012	0.0110283	0.3334510	0.4752289	0.6128705	0.6534230	0.2838035	0.2908632	0.4338496	0.6422609	0.5967663	0.2976049	0.5862576	0.0024882	0.2779240	0.7908449	0.7662712	0.6498860	0.7577941	0.2365690	0.0079557	0.0031099	0.0083688	0.7205361	0.3612768	0.5989127	0.2995965	0.1980879	0.0673278	0.6524592	0.4262341	0.6938138	0.3787349	0.7454977	0.3813354	0.0107372	0.7411961	0.0301321	0.3358430	0.2756796	0.7341828	0.3398945	0.7427877
900	0.4334486	0.0007071	0.3807090	0.2311187	0.7078294	0.6037619	0.5180512	0.0538834	0.3870214	0.4429262	0.6577682	0.5109184	0.0021237	0.3032713	0.3410584	0.3870168	0.7168833	0.4372792	0.3555376	0.3223679	0.2159430	0.3454151	0.3716394	0.3247489	0.7112220	0.0320235	0.1805143	0.5200867	0.0095876	0.3524113	0.5420345	0.7516589	0.5670101	0.3377399	0.3087133	0.3267174	0.7182004	0.5772663	0.2035391	0.6505447	0.0118103	0.3577602	0.5923850	0.6100444	0.6381552	0.8090188	0.2867158	0.0012546	0.0003954	0.0093453	0.6714373	0.3153801	0.5089995	0.4740200	0.2615195	0.0260073	0.7524113	0.3579261	0.6948664	0.3557702	0.7093260	0.2919832	0.0219242	0.6010352	0.0390649	0.3605835	0.3213770	0.7955306	0.2050168	0.6356775
950	0.3474892	0.0028753	0.3342345	0.2265820	0.5898726	0.5114763	0.5419548	0.0745893	0.3825768	0.4868296	0.6099966	0.4480937	0.0116235	0.3128038	0.3564599	0.4228913	0.6665327	0.4029852	0.3066205	0.3008425	0.2026122	0.2738712	0.3117514	0.3313348	0.6845456	0.0231456	0.1621061	0.5571940	0.0110420	0.4160513	0.5940245	0.7026782	0.8082750	0.3077505	0.3223723	0.3335996	0.7946209	0.4703332	0.2613324	0.6707255	0.0106005	0.3735383	0.7163926	0.5959678	0.4290673	0.5979526	0.2032285	0.0115099	0.0032118	0.0139342	0.6686747	0.4214934	0.4336752	0.3777279	0.2058992	0.0244299	0.6535054	0.3081483	0.7506856	0.4534910	0.8211485	0.2285174	0.0420288	0.6604388	0.0168100	0.3552142	0.2342560	0.8301068	0.2499610	0.6117117
1000	0.4758872	0.0013298	0.2940068	0.1760520	0.5879394	0.6284993	0.5899103	0.0722422	0.4328280	0.4280628	0.6644783	0.6045384	0.0156073	0.4301704	0.3733018	0.4928125	0.6419039	0.3949820	0.3292657	0.2717754	0.2500826	0.3216796	0.2478735	0.2412895	0.4821403	0.0716370	0.2224142	0.6621716	0.0079308	0.4480550	0.6467603	0.6425598	0.7291227	0.2668020	0.3845906	0.3231402	0.6292403	0.4066780	0.2412851	0.7450128	0.0129838	0.4088889	0.5678274	0.8997940	0.5709447	0.6600549	0.2331287	0.0024393	0.0069424	0.0105845	0.8045389	0.3599679	0.4723157	0.3145963	0.1916933	0.0138927	0.7000146	0.3619583	0.5441961	0.3104705	0.6978045	0.2407362	0.0136882	0.7176573	0.0355718	0.3162686	0.2663545	0.7202130	0.1764623	0.5923900

0	0.3990856	0.0019614	0.3596505	0.1699988	0.6270030	0.5594050	0.6328194	0.0994658	0.4656796	0.4869930	0.7564388	0.4503811	0.0071450	0.3446881	0.3145783	0.3974475	0.6899877	0.4783135	0.2862789	0.3252984	0.2534786	0.3023692	0.1892755	0.4191197	0.6077098	0.0297474	0.2021629	0.5416045	0.0087608	0.4609956	0.4417830	0.6238379	0.8050031	0.2914146	0.4740267	0.4857609	0.6614242	0.4914784	0.2627205	0.8025442	0.0011814	0.3891362	0.7911017	0.7589533	0.4361179	0.7944918	0.1719159	0.0046756	0.0017453	0.0070785	0.6626957	0.3797250	0.5064988	0.5253959	0.2740055	0.0393887	0.6985658	0.3160734	0.7098545	0.4352184	0.6042941	0.2865475	0.0302636	0.6228289	0.0233167	0.3267929	0.2883502	0.5864039	0.2093794	0.6720327
50	0.4711691	0.0038155	0.1941532	0.1977563	0.8011820	0.5972217	0.5440250	0.1032308	0.4364157	0.4774501	0.7034394	0.3376766	0.0000000	0.1694987	0.1820351	0.3735149	0.2912786	0.4698005	0.3372940	0.2331179	0.2265779	0.3168073	0.2715531	0.4128480	0.6794087	0.0324218	0.2492633	0.6111550	0.0085990	0.2866355	0.5695223	0.7630313	0.5784859	0.2270795	0.5689564	0.4500665	0.6529612	0.5746041	0.2337948	0.5959929	0.0002380	0.2176234	0.7128584	0.8517319	0.6067595	0.1785033	0.1697799	0.1967259	0.0039516	0.0001272	0.6335089	0.1705804	0.3690446	0.4027772	0.1726269	0.0144074	0.6016814	0.3384222	0.7853853	0.3051712	0.6024965	0.2955730	0.0231591	0.6260389	0.0258112	0.2292624	0.2524771	0.5710103	0.0513610	0.5916448
100	0.4636356	0.0005590	0.1178186	0.2174520	0.8290339	0.5438109	0.4642246	0.0745442	0.5113074	0.4132099	0.6831859	0.2826560	0.0159046	0.1014978	0.1669179	0.3667682	0.1389487	0.4481897	0.3862085	0.2965078	0.2417703	0.2448780	0.2677763	0.3843407	0.5350176	0.0355175	0.2593147	0.4511141	0.0333883	0.5079263	0.7977889	0.6424299	0.7996282	0.3304199	0.6369116	0.6579787	0.7061693	0.4768342	0.1568094	0.6959518	0.0031701	0.1243926	0.6076458	0.5707476	0.5056590	0.1361086	0.1868353	0.2966108	0.0110390	0.0026969	0.4907844	0.0939009	0.3173960	0.3190979	0.2653178	0.0311749	0.5294693	0.1886286	0.6823962	0.2837396	0.3013692	0.1863963	0.0258242	0.6959067	0.0235543	0.1164543	0.1460298	0.6144958	0.0314875	0.7089198
150	0.2644715	0.0000902	0.1143809	0.2370591	0.8660872	0.5713057	0.5019544	0.1367809	0.5446047	0.6223616	0.6469952	0.4571124	0.0056860	0.0860920	0.2846429	0.4007214	0.1349834	0.5662380	0.3931830	0.3660248	0.1614111	0.2935937	0.2169564	0.2560973	0.4608196	0.0389245	0.3160241	0.5270696	0.0435326	0.7051345	0.6072763	0.6766969	0.5717178	0.2009747	0.5284875	0.5612530	0.6777988	0.6272493	0.1722229	0.6745902	0.0001101	0.0983162	0.8536547	0.6737756	0.3487629	0.1193876	0.1918328	0.4504898	0.0012778	0.0052028	0.4130390	0.0260016	0.1796683	0.2700966	0.2992426	0.0313937	0.4098045	0.1126167	0.7747817	0.2835803	0.1390849	0.1057650	0.0560288	0.8935030	0.0227148	0.0288336	0.1813298	0.5543526	0.1047245	0.7435160
200	0.2221430	0.0000000	0.0930205	0.0682731	0.8113179	0.4486368	0.5886126	0.2506326	0.5307504	0.4345504	0.7094341	0.2889283	0.0286752	0.0693829	0.2936494	0.4861683	0.1280977	0.5633058	0.3683952	0.5801135	0.1294861	0.2581274	0.1378633	0.2800116	0.3238657	0.0137719	0.2894363	0.5069965	0.0869291	0.5305479	0.6792542	0.4907027	0.6360549	0.1235189	0.4640893	0.6792869	0.7177203	0.5993469	0.1261116	0.5891721	0.0145703	0.1375321	0.6735694	0.6971966	0.3428466	0.0768894	0.2549460	0.5099187	0.0004183	0.0039244	0.4143577	0.0429335	0.1521280	0.1554868	0.4235054	0.0320083	0.3581104	0.0618667	0.5965548	0.3671416	0.0661462	0.0818180	0.0310212	0.6022570	0.0194921	0.0175725	0.0977668	0.5773395	0.0403667	0.7402789
250	0.1450049	0.0009930	0.1208215	0.0565397	0.4710204	0.5312982	0.6989350	0.3582486	0.5770563	0.3363515	0.6876380	0.4700619	0.0532589	0.0854142	0.3123736	0.4845218	0.1019509	0.5280823	0.3576396	0.5998766	0.1115114	0.3183688	0.1389330	0.1839569	0.3208652	0.0455891	0.2775413	0.3847783	0.1416430	0.5001607	0.5821342	0.4968142	0.6283712	0.0996384	0.4085767	0.8957242	0.6332477	0.5945185	0.0597363	0.6607308	0.0029731	0.1036134	0.6848486	0.7541768	0.2630975	0.1455490	0.2998564	0.3898017	0.0020660	0.0176769	0.6795963	0.0643321	0.1290194	0.1633656	0.4027123	0.0358980	0.3734834	0.0347964	0.6252976	0.3009665	0.0402212	0.0503338	0.0269046	0.6696429	0.0411897	0.0298526	0.1822946	0.4862592	0.0383063	0.6906714
300	0.1246247	0.0071243	0.1432329	0.0268229	0.4193024	0.6923689	0.6545317	0.5691161	0.4830282	0.3933582	0.7718884	0.4170232	0.0977065	0.0773432	0.3705191	0.6273869	0.0852364	0.6607561	0.4554000	0.5231333	0.0992159	0.2860117	0.0862168	0.1687319	0.3142976	0.0260861	0.2715061	0.3729304	0.1269224	0.5390792	0.6496323	0.4780088	0.5501822	0.1055189	0.4583096	0.5715184	0.6652758	0.4923726	0.1114747	0.8053847	0.0050476	0.0943447	0.7741836	0.6709057	0.3577927	0.1005259	0.2465608	0.4318664	0.0016454	0.0038307	0.5633199	0.0146524	0.1818948	0.0619184	0.3441462	0.0271546	0.3986647	0.0179064	0.6860960	0.3366747	0.0494612	0.0589673	0.0151062	0.6803204	0.0400827	0.0157193	0.1709754	0.5623276	0.0604560	0.7389274
350	0.0878363	0.0030747	0.1640126	0.0223387	0.4905794	0.5802507	0.7302817	0.4251759	0.5317193	0.4453598	0.7929131	0.4403978	0.1650060	0.2113694	0.3177493	0.7826712	0.1522193	0.6893729	0.4767260	0.5869839	0.0411508	0.2499911	0.0734483	0.2084718	0.2743397	0.0207740	0.2225819	0.3487497	0.1601300	0.5477621	0.5376869	0.5723745	0.7160375	0.0943672	0.3765856	0.6326397	0.6752482	0.6866205	0.0671716	0.6124873	0.0036187	0.1128532	0.6766761	0.6497630	0.2876496	0.1189234	0.2559044	0.3718667	0.0000000	0.0177275	0.5593157	0.0204194	0.1500525	0.0391759	0.3153356	0.0262721	0.3172887	0.0076135	0.7153126	0.3649340	0.0235823	0.0284326	0.0572703	0.7482909	0.0233780	0.0317329	0.1046823	0.5613516	0.0806942	0.8217668
400	0.1310819	0.0081095	0.1945180	0.0279732	0.5067142	0.5136739	0.7495422	0.4288703	0.5036512	0.3816799	0.5863016	0.3839119	0.1787547	0.1031529	0.2800070	0.6703098	0.0826991	0.5840236	0.5058221	0.6370010	0.0438120	0.2676527	0.0773800	0.3068852	0.3186640	0.0093621	0.2364145	0.3306841	0.1421608	0.5916331	0.6188243	0.5451797	0.6512328	0.0659337	0.5700612	0.6937905	0.6459462	0.6589794	0.1253938	0.7001533	0.0025947	0.1671969	0.7008101	0.7125313	0.1812566	0.0994704	0.3737453	0.3843529	0.0016721	0.0309503	0.6723876	0.0263455	0.1057196	0.0373934	0.3394143	0.0544625	0.3132590	0.0091123	0.7316337	0.3705868	0.0311488	0.0141959	0.0448912	0.7246215	0.0162203	0.0049590	0.1594915	0.5643586	0.0449714	0.8311633
450	0.1403619	0.0033446	0.1885341	0.0286682	0.4993719	0.4405909	0.7846869	0.3503749	0.5709922	0.3597517	0.6996696	0.3870181	0.1029854	0.1069248	0.3683995	0.6519065	0.1254404	0.8024256	0.6011504	0.5090969	0.0497479	0.4288137	0.0554470	0.4166249	0.2766090	0.0232943	0.2388761	0.3793937	0.1245026	0.4845757	0.6913432	0.5627104	0.7856603	0.1172071	0.4743495	0.6739220	0.8226741	0.6282816	0.1174271	0.6354382	0.0061859	0.0818828	0.7423750	0.6233009	0.1869580	0.1154125	0.2736140	0.3709681	0.0030197	0.0644922	0.7297071	0.0236760	0.1359162	0.0439103	0.2992767	0.0326868	0.3394583	0.0026912	0.6500781	0.3344717	0.0428180	0.0224804	0.0541979	0.7414233	0.0116435	0.0286532	0.1358573	0.5735563	0.0633442	0.7994497
500	0.2070441	0.0022100	0.1493602	0.0255503	0.4486705	0.3939790	0.7051576	0.3986996	0.3262048	0.3997104	0.7262994	0.4467621	0.0799781	0.0985958	0.2762828	0.5815306	0.1342072	0.5916865	0.5869466	0.5753930	0.0644686	0.3715910	0.0658552	0.4924481	0.2982453	0.0441867	0.3274830	0.3468647	0.1708276	0.5677488	0.7782828	0.4525688	0.5580665	0.0754356	0.3973371	0.7119040	0.6961830	0.6437583	0.1202707	0.7022330	0.0104503	0.1479666	0.6893591	0.6581057	0.1540547	0.0814673	0.2658670	0.4409249	0.0038714	0.0283855	0.6809521	0.0627392	0.2144531	0.0287036	0.3233276	0.0879412	0.3058189	0.0225068	0.7509164	0.3647518	0.0507126	0.0179554	0.0231010	0.8125121	0.0359734	0.0142595	0.1504418	0.6764056	0.0503304	0.6569054
