"Time"	G1	G2	G20	G10	G16	G4	G17	G8	G11	G56	G3	G5	G19	G12	G13	G14	G15	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G44	G39	G35	G49	G45	G48	G61	G9	G47	G43	G79	G57	G60	G89	G80	G84	G81	G82	G83	G88	G86	G78	G77	G75	G91	G90	G85	G58	G59	G99	G92	G93
450	0.6099131	0.0090981	0.5581297	0.2572630	0.0672460	0.5526572	0.1252546	0.0736655	0.1244656	0.4803696	0.0248412	0.2998663	0.4197714	0.0000000	0.0556588	0.0272737	0.5262502	0.0890097	0.7304525	0.3886533	0.6050101	0.1083445	0.7060662	0.4009066	0.5017933	0.4731345	0.2609725	0.5904138	0.1700333	0.4438846	0.6656352	0.3800267	0.3240748	0.1990105	0.7011645	0.1148618	0.4339147	0.0521031	0.5834979	0.7510192	0.3125012	0.0323876	0.0049930	0.3365763	0.4227959	0.5863548	0.0247132	0.1792206	0.2407425	0.1191096	0.4315565	0.3998528	0.4601238	0.4305609	0.2517168	0.5525998	0.7032083	0.5229357	0.4334811	0.0108081
500	0.7141849	0.0043414	0.5367345	0.1472895	0.0425800	0.5989133	0.1538036	0.0803887	0.1740771	0.5328012	0.0122849	0.2923077	0.5022523	0.0001471	0.0233624	0.0141935	0.3628380	0.0649799	0.6517460	0.3853322	0.6442674	0.1065660	0.6224281	0.4448308	0.5479666	0.4330720	0.3114983	0.6026516	0.2651160	0.3570173	0.6753863	0.4150468	0.3040208	0.1697810	0.7793762	0.1233967	0.3438826	0.0233327	0.5457802	0.7723615	0.2753070	0.0964096	0.0045057	0.3674745	0.3583454	0.6828069	0.0444847	0.1282490	0.2193608	0.0777459	0.4668180	0.4037525	0.5503927	0.5332936	0.3794000	0.5578044	0.6599974	0.5029204	0.4754234	0.0104832
550	0.7484549	0.0063877	0.5189977	0.3712720	0.0578790	0.6129485	0.0881816	0.0540724	0.1796022	0.5283262	0.0515697	0.3110420	0.7119002	0.0147971	0.1327816	0.0277166	0.5220030	0.5867345	0.5389714	0.3165245	0.2910536	0.0676048	0.7197543	0.4057035	0.3705878	0.4193076	0.4070756	0.5198108	0.1408748	0.3888956	0.6475596	0.1554057	0.2670436	0.4769511	0.4582258	0.1022032	0.3389061	0.0445819	0.6960485	0.2036060	0.3397133	0.0823758	0.0006207	0.3399544	0.3186114	0.5155470	0.0206964	0.1759514	0.5226368	0.0895209	0.2472318	0.6368064	0.2288462	0.4641122	0.6641825	0.6713753	0.5953695	0.8010601	0.5338447	0.0235301
600	0.7744590	0.0080492	0.4218982	0.3341490	0.1326907	0.6461403	0.1930253	0.0740302	0.2418472	0.5583871	0.0413433	0.2905870	0.6893577	0.0062638	0.1676879	0.0639259	0.4432670	0.5994829	0.5241917	0.4474630	0.0422397	0.1624031	0.3949201	0.3844457	0.2374673	0.4532138	0.5860302	0.4653102	0.1829078	0.3247876	0.6741255	0.0643385	0.2984092	0.5646595	0.2649644	0.0969000	0.4223718	0.0464852	0.6709755	0.0781309	0.3701561	0.0720794	0.0008301	0.4497355	0.2903566	0.5451315	0.0589704	0.1295281	0.6463092	0.2071020	0.1117347	0.7624164	0.0855300	0.5253292	0.7568509	0.6248197	0.5199501	0.5391924	0.4940420	0.0053330
650	0.7858482	0.0113774	0.5125373	0.3311979	0.0769662	0.6940422	0.1101500	0.0414446	0.1338851	0.5457276	0.0308667	0.2502164	0.6519896	0.0164611	0.2489664	0.0507537	0.4584311	0.6538000	0.6551439	0.5117055	0.0223646	0.1339326	0.4521739	0.2911902	0.1426551	0.3976080	0.6258023	0.4119453	0.2975780	0.4945824	0.6110254	0.0747997	0.3948437	0.7429963	0.3099246	0.1433054	0.3621611	0.0374906	0.6491895	0.0468470	0.2786739	0.0872153	0.0085010	0.3540127	0.3786086	0.6139223	0.0528044	0.1565701	0.6929700	0.3079494	0.0690875	0.7539297	0.0561810	0.4487454	0.6926145	0.5702918	0.5477001	0.7505515	0.6098378	0.0001782
700	0.6436855	0.0035752	0.5041304	0.3385748	0.1223159	0.6570878	0.1233479	0.0744412	0.1036181	0.5538094	0.0435485	0.2516009	0.7256626	0.0155265	0.2641293	0.0457149	0.5549731	0.6762448	0.3850129	0.7090056	0.0257948	0.2239353	0.4297188	0.2987081	0.1917560	0.4147338	0.5503051	0.4432497	0.2174168	0.3682967	0.6700048	0.0484740	0.2747852	0.5982283	0.2402434	0.1169413	0.3304937	0.0147746	0.6767091	0.0408089	0.2873005	0.0492711	0.0046238	0.4171881	0.4107130	0.5516630	0.0442482	0.1787498	0.6952327	0.4740960	0.0770835	0.6798535	0.0258010	0.4719949	0.7154188	0.5835165	0.4994503	0.6238333	0.4178948	0.0026115
750	0.6622034	0.0031518	0.4531955	0.3201473	0.1218733	0.6681814	0.1809593	0.0538107	0.0919463	0.5573039	0.0407908	0.3160047	0.8119897	0.0325218	0.3221637	0.0138797	0.4962408	0.8057455	0.5043509	0.7360345	0.0315306	0.2358892	0.3778033	0.1616198	0.1467688	0.4813596	0.5491375	0.5154579	0.1772715	0.3814057	0.6608400	0.0421499	0.3283869	0.6545942	0.2536383	0.0792530	0.3421118	0.0353772	0.6484527	0.0236878	0.2339856	0.1093185	0.0041140	0.3553864	0.4307253	0.4610033	0.0412472	0.1892890	0.6527884	0.3680704	0.1002940	0.7006958	0.0117711	0.4057635	0.7272197	0.5980792	0.4937964	0.7858298	0.4703217	0.0083100
800	0.6286740	0.0042017	0.5135743	0.4072972	0.1071765	0.6700317	0.1950210	0.0926110	0.1529315	0.4427575	0.0409390	0.3059794	0.8136032	0.0643982	0.2273845	0.0435413	0.5673295	0.8482171	0.4555785	0.8369218	0.0043939	0.1823708	0.3417284	0.2242621	0.0914961	0.5027718	0.5641704	0.4380692	0.2564477	0.4461712	0.6995687	0.0656963	0.3269285	0.7297106	0.2964894	0.1488285	0.4454730	0.0530647	0.6686594	0.0220906	0.2319581	0.0845835	0.0046837	0.4059379	0.3907722	0.5437518	0.0086922	0.1268243	0.7294942	0.4004948	0.0295666	0.6960096	0.0365868	0.4030686	0.9842085	0.6490680	0.6697864	0.6651752	0.3865567	0.0050816
850	0.7838185	0.0015927	0.5668792	0.3577076	0.0885708	0.4880959	0.1826363	0.0380762	0.1232726	0.6491928	0.0444481	0.3387093	0.7281945	0.0411294	0.2863624	0.0167173	0.5403193	0.6328641	0.4235796	0.7540610	0.0093775	0.1775013	0.3487480	0.1659039	0.1756853	0.4245450	0.6528471	0.4423229	0.2369860	0.3606126	0.5782295	0.0745024	0.3147316	0.6633075	0.2781909	0.1140444	0.3689638	0.0579506	0.6199531	0.0292903	0.2376023	0.0311843	0.0021532	0.3038090	0.4069989	0.5413131	0.0292245	0.1661876	0.8122549	0.3779258	0.0541774	0.6606305	0.0187975	0.3919512	0.8215008	0.5398201	0.4562494	0.7480863	0.4707194	0.0168154
900	0.6389486	0.0090631	0.4266288	0.3567749	0.0781745	0.5125907	0.1137288	0.0612942	0.1413464	0.5986357	0.0228898	0.3451455	0.6839100	0.0208171	0.2859516	0.0256276	0.5402795	0.6577545	0.3016422	0.7976089	0.0180508	0.2313885	0.3963391	0.1864414	0.1904975	0.4167066	0.5090046	0.4547844	0.2088100	0.3735980	0.6132979	0.0696947	0.2378985	0.6792366	0.2569045	0.0780090	0.4109918	0.0435456	0.6955249	0.0308444	0.2494372	0.0410359	0.0000648	0.4471452	0.3894596	0.4477779	0.0603253	0.1392594	0.6829103	0.3051551	0.0649495	0.5825845	0.0217214	0.4073582	0.6836049	0.5620776	0.4866702	0.7002991	0.5925657	0.0047476
950	0.7398382	0.0106659	0.4935796	0.3215345	0.0905545	0.5552900	0.1711055	0.0409278	0.1587745	0.6278313	0.0389812	0.3629446	0.6782431	0.0478599	0.2175454	0.0480169	0.4067013	0.5668637	0.3742091	0.7267194	0.0044572	0.2492041	0.3539114	0.2159696	0.1830743	0.4111532	0.5460948	0.6568504	0.1673291	0.2991588	0.6281644	0.1060140	0.2659623	0.6453706	0.3282735	0.1384462	0.3580815	0.0369361	0.7162122	0.0265285	0.3420904	0.0756875	0.0003489	0.4132824	0.2716050	0.5387542	0.0258302	0.1450159	0.8130504	0.4139862	0.0654645	0.6819070	0.0312505	0.3521678	0.6206542	0.5198593	0.4425507	0.5925566	0.4155899	0.0017045
1000	0.6885019	0.0080379	0.5684040	0.2932109	0.0700828	0.6562493	0.1527362	0.0529888	0.1385622	0.5931841	0.0604048	0.3208183	0.7654991	0.0270503	0.2511079	0.0541221	0.4312855	0.6556325	0.3840073	0.6059945	0.0094581	0.2565343	0.4031867	0.1790646	0.2183232	0.3657227	0.5964051	0.3997606	0.2619495	0.3096726	0.5819117	0.0655652	0.2621860	0.6731394	0.3321446	0.0768097	0.3442581	0.0367076	0.7553178	0.0157384	0.3031201	0.0550147	0.0016637	0.3546374	0.3799556	0.5847886	0.0690314	0.1997791	0.6728147	0.3450212	0.1112484	0.6333724	0.0236859	0.4874961	0.6577231	0.5144553	0.5011770	0.7266892	0.4608693	0.0089777

0	0.5892199	0.0105890	0.5215767	0.2980264	0.0869142	0.6751454	0.1861382	0.0947066	0.1147303	0.6103002	0.0477052	0.2942004	0.7612592	0.0271745	0.2312271	0.0163340	0.4938614	0.6105646	0.3986837	0.5633318	0.0174282	0.2572878	0.3697712	0.2102894	0.2320951	0.3624024	0.4092139	0.6082464	0.2718461	0.3115999	0.6358098	0.0604971	0.2883317	0.5950147	0.3187502	0.0575565	0.3188693	0.0451244	0.7205592	0.0229232	0.2745726	0.0534452	0.0027682	0.3649094	0.5014240	0.5598264	0.0323592	0.1437958	0.6232504	0.3503555	0.0560832	0.8390832	0.0160061	0.3763925	0.6598090	0.6853854	0.5753736	0.7382001	0.6066558	0.0035895
50	0.6573806	0.0121911	0.3904102	0.3763910	0.0331382	0.6068401	0.1392369	0.0743466	0.1194535	0.5861612	0.0853782	0.3510963	0.7767603	0.0346009	0.0570122	0.0687450	0.5453704	0.7217812	0.4691474	0.5160176	0.0303581	0.4566660	0.3905019	0.1531930	0.4212926	0.5626904	0.1766400	0.4268329	0.3093067	0.3533168	0.6878027	0.1914146	0.3449980	0.5817541	0.5610227	0.1219879	0.2266738	0.0245026	0.1399823	0.0381810	0.2460778	0.3510200	0.0024881	0.3511147	0.4629105	0.4808826	0.0367597	0.1198336	0.5097451	0.3611410	0.0365941	0.3187331	0.0078764	0.4037577	0.7438880	0.6643916	0.5255473	0.7150172	0.4959440	0.0021739
100	0.7534908	0.0021704	0.5012044	0.3942099	0.0292378	0.5624887	0.1555909	0.0463581	0.1296718	0.6045389	0.0980554	0.2808034	0.5985351	0.0301614	0.0670159	0.0642165	0.4721253	0.5881164	0.4067707	0.6062115	0.0097404	0.4692183	0.3681510	0.1195823	0.3896763	0.6736765	0.0525681	0.4738040	0.2134341	0.3787677	0.6573279	0.2890604	0.2396633	0.6758668	0.6144820	0.0701499	0.2113354	0.0079360	0.1577636	0.0198031	0.2257971	0.3450474	0.0073523	0.2384276	0.1707386	0.5817934	0.0852145	0.0939199	0.6289690	0.3936267	0.0300380	0.2666070	0.0122130	0.5843227	0.7426788	0.6055854	0.3705998	0.6890298	0.6072146	0.0024491
150	0.5417928	0.0072014	0.4946056	0.2442291	0.0172089	0.6117637	0.1073979	0.0693170	0.1345529	0.5420972	0.0343729	0.3341972	0.6417512	0.0521005	0.0679312	0.0551061	0.5893515	0.6600728	0.4310235	0.5263849	0.0131108	0.4783861	0.4422949	0.1556497	0.3616285	0.5430278	0.0361080	0.6339471	0.1520598	0.2958930	0.5507362	0.2114084	0.2346885	0.6931055	0.5690869	0.0595891	0.1976002	0.0321235	0.1757722	0.0324019	0.2550298	0.3804598	0.0223295	0.0864333	0.1110081	0.4241620	0.0367779	0.0485285	0.6739639	0.4388909	0.0561664	0.2552001	0.0446942	0.6438507	0.6329236	0.6990739	0.2290842	0.6942288	0.5758476	0.0123257
200	0.7293697	0.0153247	0.4772984	0.4603554	0.0377204	0.6781531	0.1890311	0.0606222	0.1433471	0.7270323	0.0435639	0.2973049	0.5880945	0.0202697	0.0589806	0.1122241	0.4533549	0.6518884	0.4687389	0.5711593	0.0066852	0.5230073	0.4086324	0.2210695	0.4897847	0.6715707	0.0633993	0.5027249	0.2095019	0.3388551	0.7136407	0.2982947	0.1739146	0.6599767	0.6157115	0.0612864	0.2409992	0.0481917	0.1546827	0.0457718	0.2176861	0.3506405	0.0331022	0.0577915	0.0671666	0.3877487	0.0442221	0.0334884	0.7300198	0.4094986	0.0224221	0.2369756	0.0194269	0.6737898	0.8125535	0.7370457	0.1307066	0.6731031	0.5574745	0.0211211
250	0.7107417	0.0077865	0.5278755	0.3421118	0.0107717	0.6765997	0.1701538	0.0462533	0.1519697	0.5654309	0.0259962	0.2945417	0.6298011	0.0040769	0.0850622	0.0497413	0.7702746	0.6859539	0.4091270	0.6349376	0.0066456	0.5580092	0.2964514	0.2520527	0.5078087	0.6279087	0.0385480	0.4662201	0.3198603	0.3277485	0.7504706	0.2124339	0.2661822	0.5191237	0.4525884	0.0687087	0.3685710	0.0525457	0.1083805	0.0291339	0.2517365	0.3553231	0.0359048	0.0191744	0.1175460	0.2989136	0.0512285	0.0265194	0.6659369	0.3244047	0.0566405	0.2306453	0.0523733	0.8230079	0.5089822	0.6741850	0.1041888	0.6788908	0.6608706	0.0024077
300	0.7395652	0.0042836	0.4514606	0.4030089	0.0050920	0.6584825	0.1593244	0.0715198	0.1163805	0.5265540	0.0179936	0.2423973	0.7629726	0.0186956	0.0735553	0.0955603	0.6496480	0.5986218	0.4641594	0.7454204	0.0062260	0.6004696	0.3206334	0.1386349	0.4550693	0.7323783	0.0340846	0.6114635	0.1820696	0.3472501	0.7825320	0.2401448	0.2473814	0.7447118	0.5125301	0.1304494	0.3644774	0.0423195	0.1696980	0.0144678	0.2377420	0.3271054	0.0539854	0.0212331	0.0702420	0.2798052	0.0673762	0.0434133	0.7390451	0.4016032	0.0660924	0.2239598	0.0090041	0.6548728	0.6492953	0.7270149	0.0634597	0.6786977	0.7655421	0.0139675
350	0.6173832	0.0056729	0.4461948	0.4345368	0.0116093	0.5765648	0.1249446	0.0814907	0.1271510	0.5653604	0.0281722	0.2791547	0.6595865	0.0150847	0.0442103	0.1202283	0.5860432	0.7244477	0.4109963	0.6622704	0.0123420	0.5726447	0.4123493	0.2606573	0.6212264	0.5729409	0.0617693	0.5995234	0.1707314	0.3190755	0.6896202	0.3003903	0.1573278	0.7197675	0.4197836	0.0580637	0.3892692	0.0291018	0.1539342	0.0406419	0.2752918	0.3244859	0.0435090	0.0215675	0.0859519	0.2069593	0.0389154	0.0449506	0.6536487	0.4512180	0.0658034	0.2520553	0.0226039	0.6836886	0.6450348	0.7771688	0.0490121	0.6269844	0.8096395	0.0029857
400	0.7109535	0.0184759	0.5908423	0.3641564	0.0156761	0.5002980	0.1844476	0.0382140	0.1425304	0.6341521	0.0414454	0.2544654	0.7131189	0.0351087	0.0832305	0.0904503	0.5163320	0.6709850	0.3872177	0.5827717	0.0180539	0.6134798	0.3550224	0.1498777	0.5517557	0.6107905	0.0361320	0.5036451	0.1642576	0.3437226	0.7270539	0.2718551	0.1692613	0.6456344	0.5822505	0.1084862	0.3135413	0.0206653	0.1172825	0.0261841	0.3813850	0.3460864	0.0618268	0.0258047	0.0780435	0.2230536	0.0362805	0.0288777	0.7851503	0.3973416	0.0465747	0.2701369	0.0176151	0.6767786	0.8233838	0.7055056	0.0683340	0.5971454	0.7145831	0.0029986
450	0.6084629	0.0122278	0.3909375	0.3431766	0.0280228	0.5970779	0.1502286	0.0317772	0.0990113	0.5828738	0.1000787	0.3906144	0.6534764	0.0440117	0.0837830	0.1351242	0.5286475	0.7149755	0.3810361	0.6491802	0.0286919	0.5868141	0.4052740	0.1872712	0.3866497	0.6588632	0.0466022	0.6014454	0.2190789	0.4588526	0.6305151	0.2333123	0.2061919	0.6712682	0.3905533	0.1362693	0.3738036	0.0261205	0.1157249	0.0327296	0.3022034	0.4330985	0.0579743	0.0284326	0.0515701	0.2912892	0.0169052	0.0436491	0.5120796	0.3296439	0.0456960	0.3245219	0.0387051	0.6314835	0.7046236	0.7569527	0.0427376	0.7803189	0.5958123	0.0046477
500	0.6694292	0.0354297	0.3929665	0.3225458	0.0132343	0.5961620	0.1479383	0.0426538	0.1183725	0.4697796	0.0492954	0.2685225	0.6271155	0.0155700	0.1196518	0.0678072	0.5493919	0.6720323	0.3713018	0.7186824	0.0158880	0.5784046	0.3413232	0.3306852	0.5606276	0.6181196	0.0413435	0.6075520	0.3350674	0.3999305	0.5500194	0.2217461	0.2892706	0.7516135	0.4225709	0.1214733	0.3530984	0.0311950	0.1798313	0.0430374	0.2278606	0.5135557	0.0420314	0.0183106	0.0689591	0.3152866	0.0534544	0.0635314	0.7594875	0.3521806	0.0309299	0.2454402	0.0099183	0.6561719	0.5495691	0.7381994	0.1171790	0.6990498	0.7281578	0.0108826
550	0.7683492	0.0043520	0.4246994	0.3294895	0.0691801	0.5868374	0.1816439	0.1049807	0.1036451	0.5351679	0.0373722	0.2599880	0.5869155	0.0093256	0.3664313	0.0355895	0.5755183	0.6578833	0.4440074	0.6657448	0.0267694	0.3443077	0.3582436	0.1773086	0.2495906	0.5220953	0.4980767	0.5540791	0.1660419	0.3317153	0.6550966	0.1758833	0.2862885	0.6935832	0.3171873	0.1175351	0.3395309	0.0255256	0.6416881	0.0387180	0.3588474	0.2143293	0.0134105	0.1047626	0.1783058	0.4427030	0.0513486	0.0800494	0.5891723	0.4626321	0.0401458	0.7557687	0.0200047	0.5872375	0.5900358	0.5578797	0.2485573	0.6752213	0.4283873	0.0082704
600	0.7403371	0.0040633	0.4320318	0.4106423	0.0751234	0.5614719	0.1420867	0.0467138	0.1253706	0.4834841	0.0500533	0.2295408	0.5753773	0.0163311	0.4027615	0.0210470	0.6075579	0.6028659	0.3516279	0.6934891	0.0311740	0.3046042	0.3660513	0.1728863	0.1409902	0.3430793	0.5578148	0.5010583	0.1735364	0.3346535	0.6688862	0.0816592	0.1986754	0.7072245	0.3432496	0.0895080	0.4060173	0.0462379	0.6599981	0.0506199	0.3377007	0.1934264	0.0048613	0.2984722	0.2894827	0.5230131	0.0365897	0.1408039	0.5813634	0.4214712	0.1005434	0.7130638	0.0189910	0.5080248	0.6127033	0.7127299	0.4783030	0.6457206	0.4062115	0.0169900
650	0.7631331	0.0213070	0.5215801	0.3492001	0.0721626	0.6734155	0.1551103	0.0729631	0.1000236	0.5177598	0.0510437	0.2981729	0.6240056	0.0089031	0.3519425	0.0216077	0.5525649	0.6117943	0.2926047	0.5707051	0.0190707	0.2738420	0.3780295	0.1720876	0.1951137	0.4126017	0.4511604	0.4980837	0.1183816	0.3501967	0.6470174	0.0353994	0.2155753	0.8753619	0.3228105	0.0891104	0.5145847	0.0369490	0.6210584	0.0252661	0.3015732	0.1838710	0.0075628	0.3675590	0.3363623	0.4696672	0.0350968	0.1997070	0.6618036	0.3550560	0.1296656	0.7915102	0.0257786	0.4821796	0.6492971	0.7115559	0.4194707	0.6927319	0.4299271	0.0030920
700	0.5520073	0.0046780	0.4992249	0.3345273	0.0750881	0.6604650	0.1388770	0.0547085	0.1622207	0.5248645	0.0458587	0.2630732	0.7334597	0.0112043	0.2466088	0.0506997	0.4730490	0.6684597	0.3753593	0.7049362	0.0245966	0.2847213	0.3600994	0.1604725	0.2095578	0.4353019	0.5495931	0.5487987	0.1233515	0.3178893	0.6386569	0.0688673	0.2925976	0.6797365	0.2684645	0.0794202	0.4586045	0.0393119	0.7038944	0.0242378	0.2637712	0.1095990	0.0005614	0.3626415	0.3849331	0.5331465	0.0222120	0.1718358	0.7188583	0.4425414	0.1334754	0.8822903	0.0099605	0.3859508	0.6913550	0.5709708	0.4799454	0.7481589	0.4240245	0.0047966
750	0.6906249	0.0039039	0.4485115	0.3520502	0.1100697	0.7049691	0.1199957	0.0522711	0.1546459	0.6389404	0.0353154	0.2525311	0.6514359	0.0464452	0.3367314	0.0496226	0.5004388	0.6865666	0.3717518	0.6424067	0.0515640	0.1767836	0.3185931	0.1848621	0.1821183	0.4409284	0.5179596	0.5156547	0.1131698	0.4157459	0.6522317	0.0388056	0.2102361	0.7008547	0.2635034	0.0664795	0.3728521	0.0451211	0.6504455	0.0162032	0.2715808	0.0519573	0.0077362	0.3672768	0.3529148	0.5736617	0.0194265	0.1633376	0.6523972	0.4025219	0.1058044	0.7047834	0.0400154	0.3838743	0.7631143	0.6853530	0.4650790	0.6717898	0.4585613	0.0123607
