"Time"	G1	G10	G2	G20	G17	G16	G4	G8	G18	G94	G9	G95	G11	G56	G3	G98	G7	G46	G6	G36	G37	G100	G38	G34	G35	G5	G19	G14	G13	G12	G41	G44	G49	G39	G22	G21	G50	G15	G51	G53	G52	G55	G42	G54	G45	G40	G47	G48	G72	G67	G61	G43	G57	G60	G59	G99	G58	G80	G81	G83	G88	G82	G89	G79	G84	G75	G86	G78	G77	G85	G90	G91	G93	G69	G92	G87	G68	G27	G96	G97
450	0.5869718	0.0006033	0.1802360	0.4711630	0.0158841	0.2596287	0.0647669	0.2724117	0.0206744	0.7275831	0.3773799	0.5108143	0.3857530	0.6830620	0.6860825	0.7166300	0.6127214	0.0407083	0.1807549	0.7573098	0.3747458	0.7673474	0.5118358	0.8058843	0.1217932	0.0827285	0.4870176	0.6102988	0.7750721	0.7149820	0.4056660	0.0071936	0.3110609	0.2378811	0.1321384	0.2400150	0.7110726	0.4528021	0.2168026	0.4678154	0.0376604	0.4582483	0.0146468	0.6012442	0.3973909	0.3246712	0.3936177	0.1272135	0.6170208	0.3350549	0.4101290	0.5401877	0.5365072	0.6805564	0.2740054	0.8333199	0.5681376	0.5984559	0.5364974	0.3655393	0.3346435	0.6105699	0.0550579	0.2824098	0.4811851	0.0559348	0.1318681	0.1116130	0.6764994	0.1809858	0.5393214	0.6470517	0.5092639	0.5417673	0.4910922	0.0984732	0.6080030	0.0652733	0.7589616	0.6053784
500	0.6207426	0.0029732	0.1532887	0.5392875	0.0055918	0.3358828	0.0474935	0.3483598	0.0284026	0.5499485	0.4542766	0.4496247	0.4769934	0.9613235	0.6915469	0.6406193	0.6464463	0.0492928	0.1758163	0.7603368	0.2721732	0.7956448	0.5945369	0.5711532	0.1173070	0.0741722	0.3315276	0.5017640	0.7788705	0.6517736	0.4477833	0.0162469	0.3829588	0.1757979	0.0988816	0.1585467	0.6120922	0.4507359	0.2833932	0.5024080	0.0476096	0.4196326	0.0026868	0.4940873	0.4270503	0.2085539	0.4216307	0.1494383	0.7725187	0.4010799	0.3888913	0.5853852	0.4808188	0.6546886	0.2795723	0.6659122	0.6512539	0.6141737	0.5383228	0.3469971	0.3241953	0.7318135	0.0808418	0.2828483	0.4988070	0.0319873	0.1596268	0.0954552	0.6262962	0.1326097	0.4827698	0.7707398	0.5700026	0.6663535	0.4975203	0.1546985	0.6007052	0.0457796	0.6930251	0.6977297
550	0.5884438	0.0270727	0.3167567	0.4031308	0.0110807	0.4592516	0.0440225	0.3694784	0.0291637	0.6156374	0.3356787	0.4986976	0.5417285	0.6339843	0.6307927	0.7531194	0.5976839	0.3385653	0.4219538	0.5121264	0.0723759	0.8402759	0.6770995	0.6077610	0.1252005	0.0902932	0.3484577	0.4510357	0.7909576	0.6743291	0.3868222	0.0165841	0.2793803	0.0520449	0.1432344	0.1799171	0.7441893	0.7073837	0.1960434	0.5593866	0.0332151	0.5078241	0.0088205	0.4822630	0.4301077	0.3888071	0.3937785	0.1996047	0.8444749	0.5928905	0.4025712	0.6268852	0.5271562	0.6070729	0.2780122	0.6304704	0.4033265	0.5116984	0.5367038	0.3677374	0.1359310	0.6785483	0.0397316	0.2131515	0.5343968	0.0292484	0.1643837	0.1389716	0.6878300	0.4371735	0.4425807	0.6400766	0.4666821	0.4845402	0.1303173	0.2815391	0.5952088	0.1727933	0.7509225	0.6006774
600	0.5289292	0.0647776	0.3451067	0.3655084	0.0131464	0.4455860	0.1300138	0.3591390	0.0570212	0.5830668	0.3716221	0.5069362	0.3763592	0.7124457	0.7372834	0.7234342	0.7220762	0.4003831	0.3735055	0.7578655	0.0743662	0.8226447	0.4963111	0.6998230	0.1152126	0.1583586	0.2756308	0.3170527	0.5841287	0.5767691	0.3988269	0.0036112	0.2897879	0.0491298	0.1175434	0.1703923	0.6553507	0.6006307	0.2598405	0.6225490	0.0443935	0.4450811	0.0022263	0.4111453	0.4128452	0.2467281	0.3095503	0.2028469	0.7523744	0.5016504	0.3328555	0.5573182	0.5722473	0.7575891	0.3000934	0.7384856	0.4673770	0.5698854	0.6239337	0.3859987	0.0909842	0.7041293	0.0425112	0.2193255	0.4888007	0.0103354	0.1873792	0.1335073	0.7496766	0.5648168	0.5733722	0.7138023	0.5663085	0.4332202	0.0464498	0.4972884	0.6305783	0.2110878	0.6714420	0.6791676
650	0.5613076	0.0467895	0.2814330	0.4177216	0.0104355	0.4840910	0.0662419	0.2594187	0.0351220	0.7195217	0.3900141	0.4525884	0.1660944	0.6682527	0.7318448	0.7334724	0.6542983	0.4512643	0.3129627	0.7452759	0.0340415	0.6992482	0.6555105	0.6715324	0.1986710	0.1268114	0.2965186	0.4150361	0.5987875	0.6276873	0.4006667	0.0102829	0.2382367	0.0410105	0.2524588	0.1356409	0.7120423	0.6074534	0.2603743	0.5687216	0.0433802	0.4457810	0.0120925	0.5932146	0.3812266	0.3258740	0.2399967	0.1399810	0.5747564	0.4213393	0.4220777	0.5243600	0.5561661	0.5972575	0.2709110	0.7642164	0.3906197	0.5938095	0.4438816	0.3236068	0.0710546	0.6515095	0.0364178	0.2368214	0.5044668	0.0136135	0.1774066	0.1376308	0.6754245	0.5286844	0.4450057	0.5551355	0.5444963	0.5426816	0.0227637	0.4294430	0.5259913	0.1984755	0.6963347	0.7971115
700	0.6274782	0.0283631	0.3665126	0.3229585	0.0063207	0.3610751	0.0545177	0.3991596	0.0643931	0.6277594	0.4169941	0.5025801	0.2023048	0.7381146	0.5970977	0.7314453	0.6183107	0.4988528	0.3813936	0.7964977	0.0549563	0.7081197	0.5895736	0.7899968	0.1385799	0.1178195	0.4163533	0.3314578	0.7303781	0.6397911	0.3989379	0.0137197	0.2860513	0.0498296	0.2366520	0.1367913	0.7025435	0.6635952	0.3308512	0.4576454	0.0254426	0.5693573	0.0022082	0.4230963	0.3983751	0.2316336	0.2557628	0.1764026	0.6461586	0.4133956	0.4563287	0.4632298	0.5380754	0.5412155	0.3262439	0.7103350	0.4000051	0.4847142	0.4635789	0.4295588	0.0730758	0.6671877	0.0371071	0.2362957	0.5395006	0.0084444	0.2765345	0.1730958	0.6186097	0.6482924	0.5383571	0.5595367	0.6427379	0.5885863	0.0370355	0.4044476	0.4524295	0.1670351	0.8287414	0.5691358
750	0.5417734	0.0348548	0.3711850	0.3753772	0.0166925	0.4374301	0.0878902	0.3359189	0.0548913	0.6576803	0.4125677	0.6634685	0.2021936	0.7164342	0.6990322	0.7504960	0.6305671	0.4626468	0.4009955	0.7434666	0.0853958	0.7001506	0.6317859	0.6872909	0.1481113	0.1192725	0.3303225	0.3679609	0.6955899	0.6424809	0.5014296	0.0063810	0.2004016	0.0589861	0.1662650	0.1574248	0.7218508	0.6285876	0.2364042	0.5272645	0.0420254	0.5429308	0.0136384	0.5196094	0.4502679	0.2125304	0.2532227	0.1899240	0.8731752	0.5477935	0.4391214	0.4306840	0.6076840	0.6281564	0.4029128	0.7067130	0.3702473	0.5332585	0.5147506	0.4286702	0.1444446	0.6143978	0.0461231	0.2876861	0.4831169	0.0269360	0.2409895	0.1010244	0.5778214	0.5497790	0.3813094	0.5490413	0.5451783	0.6810574	0.0379604	0.3259679	0.4105085	0.1296341	0.6858607	0.6829482
800	0.4891811	0.0485890	0.3455877	0.4343063	0.0115502	0.4574748	0.0636282	0.3207332	0.0311105	0.7372498	0.6906795	0.5092583	0.1061061	0.6309647	0.6025350	0.6766201	0.5969150	0.5086616	0.3605224	0.7397635	0.0812243	0.7427239	0.6118106	0.7777538	0.1129797	0.1924585	0.3428193	0.3661697	0.7762970	0.6918725	0.4926805	0.0055539	0.2275995	0.0436221	0.1869386	0.1915624	0.7918459	0.6085930	0.2169441	0.4830156	0.0263369	0.6477716	0.0243518	0.4869305	0.4955364	0.2176098	0.1986658	0.0950384	0.6871819	0.5324515	0.3789403	0.5698582	0.6300517	0.7079904	0.3353392	0.8019005	0.4461162	0.5572408	0.4731050	0.4059838	0.0762044	0.6705407	0.0455413	0.2672121	0.5389522	0.0054019	0.2864808	0.1823069	0.6392054	0.4963242	0.5128164	0.5163903	0.5322386	0.5136047	0.0540886	0.4175515	0.4164945	0.1898162	0.7359040	0.6614624
850	0.5430001	0.0303801	0.2805064	0.4125084	0.0098229	0.4297031	0.1180595	0.3113931	0.0418876	0.6987448	0.3773963	0.4967756	0.0705720	0.6712605	0.7537216	0.8073111	0.7031097	0.3854706	0.2658015	0.6837542	0.0553814	0.7592056	0.5603565	0.6452274	0.2196342	0.1013522	0.2565719	0.3685990	0.6123933	0.6614298	0.4245879	0.0255878	0.2020026	0.0251238	0.3604303	0.1661570	0.6608639	0.6836147	0.2750956	0.5043862	0.0624947	0.6859853	0.0085243	0.4956731	0.4569804	0.3643998	0.3013630	0.1775066	0.7090364	0.4280970	0.3909540	0.3466408	0.5786415	0.6081832	0.2484375	0.7615014	0.4276481	0.5604732	0.4831392	0.4342113	0.0471219	0.7671279	0.0190881	0.2982421	0.4756080	0.0151605	0.1366302	0.1020398	0.6245950	0.5111006	0.5039523	0.6364698	0.5826308	0.4452510	0.0273120	0.2666440	0.4355006	0.1731798	0.6615417	0.6233033
900	0.6303407	0.0732882	0.2791589	0.3863238	0.0030030	0.5362744	0.1057039	0.2457384	0.0267657	0.6832053	0.4839754	0.4034144	0.1584599	0.7564014	0.6002262	0.6937280	0.5783013	0.4444573	0.3264812	0.8503196	0.1009670	0.8192038	0.6782639	0.6661984	0.1897261	0.0873527	0.3951350	0.2741801	0.6589575	0.6600167	0.3796605	0.0214613	0.2054295	0.0504904	0.3527266	0.1700562	0.5844830	0.6942594	0.2557240	0.4532163	0.0562564	0.6604728	0.0083528	0.5574157	0.4435575	0.4552564	0.2038035	0.1204200	0.7142504	0.5217273	0.4383349	0.3729090	0.5624362	0.5309322	0.2610798	0.8955927	0.3579108	0.4754971	0.4803277	0.4129683	0.0542799	0.7881607	0.0359181	0.2504076	0.6049072	0.0500656	0.1978900	0.0926523	0.6750469	0.4598261	0.4166716	0.6477840	0.5310739	0.4698929	0.0189705	0.3737738	0.4865220	0.1797885	0.8695808	0.6207292
950	0.6525981	0.0636539	0.3299745	0.4092838	0.0027698	0.4220511	0.0690090	0.2892385	0.0266848	0.6481894	0.4560845	0.5199087	0.1492321	0.6539838	0.7361291	0.7289388	0.7201543	0.4120372	0.3863480	0.8463250	0.0977140	0.7209183	0.6233616	0.7130008	0.1769311	0.1198463	0.3584879	0.3892933	0.6486386	0.6570082	0.3694437	0.0209191	0.2178099	0.0566440	0.2268044	0.1790182	0.6842414	0.6933018	0.3625535	0.5480587	0.0252814	0.4825674	0.0205398	0.5108802	0.4971001	0.3810853	0.1922629	0.1702844	0.7190513	0.3689839	0.4212099	0.4699960	0.5297651	0.6434092	0.2541360	0.6094484	0.4745028	0.6217445	0.6374599	0.3938864	0.0817395	0.6551464	0.0455947	0.1897738	0.5583343	0.0224069	0.1832360	0.1079074	0.7071118	0.4562056	0.4040965	0.5685949	0.4830523	0.5271802	0.0347426	0.2981350	0.4256333	0.1964292	0.7820680	0.6740727
1000	0.5591226	0.0410090	0.3729947	0.3850738	0.0104982	0.5217565	0.1021766	0.3124928	0.0290196	0.5482153	0.4579417	0.6029024	0.1091100	0.7503704	0.6590890	0.9069034	0.7263185	0.4318030	0.2939787	0.7276476	0.1136814	0.7550160	0.6817475	0.6529327	0.1771123	0.1366392	0.3183442	0.3210897	0.6753193	0.6703576	0.4596539	0.0028088	0.3456026	0.0307406	0.2520832	0.1446483	0.6342623	0.6435102	0.2493801	0.4331697	0.0433416	0.5064269	0.0123651	0.4928249	0.5004046	0.3154981	0.1980805	0.1122787	0.6654683	0.5167571	0.4654744	0.3667304	0.6572725	0.7558354	0.2312711	0.8168885	0.3875864	0.6210415	0.4903049	0.3885144	0.1070155	0.7099766	0.0388557	0.2005920	0.5198830	0.0302320	0.1661877	0.1371725	0.6136793	0.5653036	0.4085601	0.6262445	0.5060412	0.5050067	0.0330145	0.2705609	0.4584164	0.1727098	0.7162821	0.7600489

0	0.5559796	0.0374308	0.2786981	0.3989902	0.0391453	0.4500103	0.0577243	0.2627066	0.0549765	0.6834411	0.4986648	0.4924640	0.1975976	0.8192919	0.7831684	0.6363915	0.6729435	0.4777366	0.2986261	0.8514682	0.0819883	0.6941277	0.6836349	0.5910430	0.1880746	0.1265175	0.3940424	0.3064723	0.8417525	0.5028673	0.4488728	0.0037229	0.2411087	0.0408106	0.1945551	0.1561341	0.7106087	0.6930402	0.2909639	0.5948832	0.0451678	0.5065730	0.0016331	0.6114991	0.4578040	0.2209630	0.2286682	0.1726126	0.7951522	0.3245670	0.4203676	0.5691108	0.5484795	0.5870222	0.2244231	0.7937091	0.4144985	0.5785031	0.5519387	0.4497939	0.0715729	0.5728130	0.0801244	0.2089232	0.4580237	0.0235604	0.1408987	0.1413558	0.7139925	0.6451523	0.5433697	0.6055330	0.6021801	0.5543185	0.0576357	0.4083369	0.4568549	0.2220085	0.6049390	0.5931038
50	0.4304644	0.0472714	0.2836199	0.3998052	0.0188937	0.4375849	0.0676526	0.3025971	0.0252037	0.4488123	0.5076366	0.4553951	0.2261149	0.6104275	0.4213604	0.7818123	0.6769844	0.1138769	0.2394672	0.5687744	0.0404291	0.6358085	0.5619938	0.6788245	0.3921620	0.1025120	0.4021890	0.3880751	0.5469112	0.5875184	0.3728294	0.0061921	0.2719861	0.0380600	0.1794052	0.1092582	0.6434458	0.5765791	0.2056188	0.5576084	0.0468402	0.5323315	0.0061790	0.5854760	0.4422649	0.2956813	0.2214263	0.2421264	0.5441837	0.3886007	0.3748953	0.4788853	0.5268089	0.6615331	0.5707170	0.5084136	0.3058855	0.5384158	0.5005249	0.4674923	0.0780534	0.8004833	0.0510619	0.2115565	0.5297070	0.0031950	0.2044066	0.0399017	0.6600674	0.6089036	0.4218385	0.5341100	0.5263319	0.5027960	0.4569473	0.3127802	0.5082085	0.2073356	0.7857901	0.6886870
100	0.4381997	0.0173321	0.3036944	0.4374417	0.0145987	0.4310400	0.0420763	0.3317199	0.0465899	0.5645023	0.3611508	0.5514666	0.2853973	0.7759945	0.3411103	0.7392859	0.5991445	0.0584676	0.2426981	0.7088437	0.0313933	0.7485770	0.6092208	0.6347853	0.2859184	0.0920055	0.5542807	0.4126406	0.6058342	0.6776346	0.3367439	0.0077045	0.3231423	0.0485782	0.2327808	0.2002686	0.7540847	0.7853207	0.2364682	0.4609834	0.0138433	0.5749543	0.0213476	0.5126205	0.4638851	0.4182912	0.3142621	0.2551002	0.5568806	0.3148299	0.3530013	0.5499030	0.5330205	0.4709111	0.6405678	0.4749983	0.3937430	0.6799779	0.5059336	0.6876598	0.0864445	0.6658440	0.0237491	0.1584492	0.4685384	0.0001446	0.1629030	0.0336422	0.7076769	0.5650009	0.3961088	0.5941393	0.4691211	0.5002126	0.5361178	0.1222275	0.7265252	0.1873175	0.5464375	0.7481159
150	0.4893748	0.0249642	0.3840240	0.4027862	0.0102891	0.5371065	0.0582356	0.3115591	0.0318853	0.5130319	0.4119345	0.5463690	0.2728924	0.6437739	0.3473584	0.7444177	0.5949578	0.0402352	0.1967099	0.5739469	0.0271205	0.6674063	0.5408851	0.7613991	0.3981739	0.1114722	0.5132561	0.2838305	0.5293215	0.6926870	0.4285590	0.0033284	0.3011036	0.0624167	0.2631633	0.2488479	0.6026220	0.6249155	0.3047537	0.5660278	0.0338625	0.5912696	0.0274277	0.7066842	0.4254259	0.5389963	0.1922936	0.1587288	0.6152633	0.2304751	0.4506686	0.5597535	0.6156130	0.6081127	0.6415274	0.5340473	0.3155696	0.5910966	0.5285510	0.7277877	0.0725903	0.6814656	0.0405658	0.1653202	0.4714285	0.0001738	0.0944368	0.0054659	0.6915150	0.5475147	0.3221492	0.6453937	0.4528408	0.4946935	0.4095949	0.2493180	0.6373444	0.2243610	0.7163758	0.6989604
200	0.5673595	0.0421519	0.4402091	0.4357098	0.0108644	0.4889289	0.0547144	0.2613939	0.0218653	0.5925737	0.3813963	0.4642289	0.2619645	0.6280704	0.2038803	0.6619458	0.6037243	0.0456463	0.1988879	0.6469654	0.0170191	0.6930040	0.6610026	0.8193268	0.4806812	0.1302940	0.4897454	0.3103292	0.5183955	0.6603451	0.4214561	0.0080785	0.3135283	0.0571195	0.2455147	0.1874326	0.6791835	0.6385993	0.2919974	0.5834402	0.0231214	0.6154125	0.0124111	0.5326722	0.5462149	0.6086644	0.1685952	0.2050492	0.4671303	0.2558191	0.5177031	0.4688509	0.4817120	0.5429221	0.6944456	0.4131612	0.3178891	0.5403382	0.4865494	0.6185981	0.0698984	0.7542534	0.0263725	0.1552844	0.5854183	0.0000336	0.1388958	0.0089521	0.6673477	0.4794012	0.3009212	0.6337246	0.5453679	0.3745534	0.6063088	0.2084691	0.6273655	0.0994459	0.7863364	0.7951779
250	0.6501512	0.0769902	0.4240131	0.4166912	0.0084351	0.5420704	0.0785536	0.2428596	0.0235696	0.7081754	0.4450515	0.3663749	0.1718471	0.6201000	0.2620189	0.6113059	0.5973071	0.0254924	0.1257454	0.6591797	0.0151292	0.6856544	0.6682449	0.6170517	0.3961460	0.1108705	0.4493898	0.3311677	0.6006749	0.8751434	0.2948835	0.0015310	0.3724604	0.0334180	0.1642189	0.1710459	0.6755788	0.6422459	0.2262288	0.4699820	0.0487117	0.6482583	0.0183416	0.6058344	0.3793557	0.5785066	0.1704622	0.2812964	0.5039478	0.1959597	0.3976454	0.5101125	0.4728169	0.6556458	0.6668674	0.4551757	0.2838946	0.6325358	0.6836068	0.5567464	0.0671404	0.7485235	0.0419474	0.1317159	0.5302799	0.0008642	0.0813024	0.0084610	0.7230673	0.5802762	0.3348164	0.6413874	0.5124145	0.5422095	0.4927427	0.2726496	0.7426894	0.1459443	0.7280811	0.6438041
300	0.5812305	0.0495345	0.2870798	0.5686791	0.0296541	0.4628262	0.0649594	0.2541305	0.0354470	0.6465147	0.5221874	0.4591657	0.2652663	0.6451996	0.3139827	0.7128417	0.7294098	0.0560279	0.2144254	0.7804032	0.0245453	0.6767482	0.5091101	0.6403718	0.3771581	0.0935803	0.5277513	0.4366489	0.4690710	0.6498266	0.4161134	0.0120492	0.3335324	0.0464660	0.2326323	0.1655834	0.7634419	0.7954291	0.3123805	0.3961929	0.0426186	0.5447999	0.0032411	0.4860470	0.3908665	0.7961032	0.2097695	0.2016165	0.3581318	0.1996786	0.4342539	0.4315022	0.4431394	0.6001310	0.6531124	0.6092198	0.2956165	0.6236335	0.5920757	0.8090728	0.0713761	0.6020133	0.0576455	0.2273727	0.4011620	0.0002167	0.1191320	0.0139730	0.6401285	0.6267001	0.2847742	0.6741588	0.5467729	0.4393528	0.5281006	0.3243706	0.6307257	0.2536740	0.7693801	0.7140083
