"Time"	G1	G2	G10	G20	G4	G17	G16	G8	G9	G11	G56	G3	G5	G19	G13	G15	G14	G12	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G49	G39	G35	G44	G45	G47	G18	G94	G98	G95	G43	G48	G61	G57	G79	G60	G84	G81	G80	G83	G88	G82	G89	G85	G90	G91
450	0.3422010	0.4107231	0.6668676	0.3311423	0.6538674	0.4596432	0.0103955	0.1886187	0.5411736	0.2030763	0.4414434	0.0000275	0.3437850	0.0518307	0.4913637	0.0416093	0.2232195	0.1167466	0.0458995	0.2376943	0.3945643	0.7805085	0.1788290	0.4270763	0.7669020	0.6386039	0.2754586	0.4862216	0.0234504	0.1885888	0.1607360	0.5497625	0.2310673	0.2919651	0.1848778	0.7159749	0.7674315	0.6415419	0.5172898	0.2835322	0.3401765	0.0404537	0.7240655	0.3691331	0.3947061	0.7637399	0.7322666	0.5344393	0.0983069	0.1089228	0.6618382	0.5085906	0.0617395	0.2038870	0.5244152
500	0.4494143	0.4337802	0.5751402	0.3280267	0.7655000	0.3569978	0.0166427	0.2381194	0.4752167	0.1750338	0.5824299	0.0001941	0.4138794	0.0310871	0.4478279	0.1163790	0.3173805	0.0438622	0.0475953	0.1918109	0.2830424	0.7318596	0.1938713	0.4991305	0.7084740	0.7593652	0.3353551	0.4099838	0.0124757	0.1817376	0.1944739	0.3974728	0.2109944	0.2812402	0.2043366	0.5544049	0.7127001	0.5866506	0.4962596	0.2572098	0.2437792	0.0477259	0.6782433	0.3064727	0.2786335	0.6802660	0.6695167	0.6843021	0.0920947	0.0799982	0.8423854	0.4543327	0.0445487	0.1145222	0.5428333
550	0.4031244	0.3631198	0.4836176	0.3145987	0.6909774	0.3622316	0.0046536	0.2482592	0.2042743	0.2761151	0.3624243	0.0264563	0.3412362	0.0345282	0.4942215	0.0957573	0.2425770	0.0786375	0.0564858	0.4754277	0.4501340	0.7577736	0.1908341	0.4242248	0.6109245	0.6086712	0.4610661	0.4629030	0.0181861	0.1945742	0.3092790	0.5093451	0.3450734	0.4202149	0.3976028	0.5364073	0.5856043	0.9108879	0.4328978	0.2075864	0.3529469	0.0342572	0.5507839	0.3750635	0.2515037	0.7767178	0.8100521	0.5788302	0.0964690	0.0268686	0.8439522	0.5946931	0.0372182	0.1668484	0.6797713
600	0.4305993	0.4292953	0.6140798	0.3700083	0.4153764	0.4276113	0.0196967	0.1642361	0.1181951	0.3015843	0.5572978	0.0134768	0.3142628	0.0642755	0.6442332	0.1500177	0.2917217	0.1368633	0.0532102	0.5600783	0.3821957	0.7419204	0.2118324	0.4326237	0.7637723	0.6505346	0.5210300	0.4642612	0.0335068	0.2863751	0.2202444	0.5108943	0.2809631	0.2503642	0.3821842	0.5929930	0.6883828	0.5811033	0.4163960	0.2104703	0.2520528	0.0409901	0.5922171	0.3845740	0.2475699	0.7150031	0.6875835	0.6381557	0.0914216	0.0297813	0.7104914	0.4038943	0.0249185	0.1278209	0.6899925
650	0.4248806	0.5011853	0.5649483	0.2405145	0.4065763	0.4580911	0.0164392	0.2278566	0.0393622	0.3320760	0.3943739	0.0150889	0.4506261	0.0114121	0.5104470	0.0498344	0.3457933	0.1313800	0.0741912	0.6042751	0.3286347	0.7858929	0.1687676	0.5379889	0.6435923	0.5664126	0.5588129	0.4637422	0.0295145	0.1783962	0.1703325	0.5244422	0.3716089	0.2595614	0.3197232	0.5354944	0.6657589	0.6994860	0.4755927	0.2966606	0.3003309	0.0694153	0.5890939	0.4285385	0.2203365	0.6097678	0.6135409	0.4982387	0.1181219	0.0431768	0.8579846	0.4207386	0.0723560	0.1799312	0.7061991
700	0.5010786	0.4436055	0.4911930	0.4068813	0.4933372	0.3497742	0.0188660	0.2510199	0.0302684	0.2612605	0.4407726	0.0267846	0.3922547	0.0239721	0.5120202	0.0536768	0.2437920	0.0815624	0.0593323	0.6584650	0.3894793	0.7363627	0.1350744	0.4879108	0.6720752	0.5840513	0.4463372	0.4119890	0.0116886	0.2849986	0.2204392	0.6326233	0.4164863	0.2984741	0.4940360	0.7220092	0.8052060	0.7311217	0.4452032	0.2264527	0.2925246	0.0452718	0.6181222	0.3968865	0.2464378	0.6989923	0.6843372	0.5718136	0.0906479	0.1056343	0.7270847	0.4555658	0.0163566	0.1115716	0.7867143
750	0.5015944	0.3802361	0.5465513	0.4208471	0.4590582	0.3692708	0.0039076	0.1960617	0.0473423	0.3087417	0.4402739	0.0148899	0.3786089	0.0650335	0.5121008	0.0980107	0.2303507	0.1839553	0.0776045	0.7312063	0.3706176	0.6257407	0.1946003	0.3911415	0.6621948	0.5685601	0.4168918	0.3339817	0.0346290	0.2356817	0.2259848	0.6051045	0.5142909	0.2992937	0.4741877	0.6662593	0.7141097	0.6705685	0.3460042	0.2080866	0.2374265	0.0364158	0.6262084	0.3316234	0.2533981	0.6283877	0.7441940	0.5464186	0.1098201	0.0638988	0.7822665	0.4466257	0.0654807	0.1399929	0.7811750
800	0.4279932	0.4407108	0.6293473	0.4043913	0.3804414	0.4019774	0.0050545	0.1414253	0.0427855	0.2164585	0.4627201	0.0115948	0.4277404	0.1586255	0.5468792	0.0968757	0.2573613	0.2199011	0.0324966	0.7124159	0.3194068	0.6937438	0.1572773	0.5061345	0.7786681	0.6079304	0.5529853	0.4109971	0.0352618	0.2573465	0.2220607	0.4992729	0.3566340	0.3051479	0.4584037	0.5137934	0.6182589	0.7194414	0.4989522	0.1951671	0.3184074	0.0488140	0.7167282	0.2976735	0.2451810	0.6876943	0.5830185	0.6036605	0.0665701	0.0491577	0.6651521	0.3736438	0.0423934	0.1476513	0.6038195
850	0.4154846	0.4126240	0.5705185	0.4301219	0.4048491	0.3218137	0.0127864	0.1551193	0.0415320	0.2882804	0.4474219	0.0606369	0.3303273	0.0538252	0.5313350	0.0607239	0.2342307	0.1538715	0.0695652	0.6372192	0.3309467	0.7524817	0.1666524	0.6193369	0.8075858	0.6140706	0.4942361	0.3932248	0.0726389	0.1419036	0.1808290	0.4533282	0.3300294	0.3176172	0.4432362	0.6840079	0.7980366	0.7360511	0.5718011	0.2907986	0.2558798	0.0464350	0.6359788	0.3840094	0.2468366	0.6597172	0.6412073	0.5805957	0.0701678	0.0511181	0.6396941	0.4611205	0.0411260	0.1433664	0.6859346
900	0.4355217	0.3842138	0.5620550	0.4290389	0.3733000	0.3620879	0.0312529	0.1715741	0.0375328	0.2290322	0.4908377	0.0304418	0.2959875	0.1327132	0.5916485	0.1178778	0.1880016	0.1469743	0.0692258	0.7483737	0.4174275	0.7619978	0.1775548	0.4725022	0.7381713	0.5505150	0.6027091	0.4852758	0.0276938	0.1581924	0.2851344	0.5402411	0.3345527	0.1897000	0.4552700	0.6600415	0.7090367	0.8695523	0.4659475	0.2646834	0.2760375	0.0425869	0.6289550	0.3357635	0.2744673	0.6267082	0.6359855	0.6283644	0.0692509	0.0795731	0.8356830	0.4253115	0.0490257	0.1468561	0.5889174
950	0.2887356	0.4109550	0.5931967	0.4597765	0.3795694	0.3589293	0.0169453	0.1857285	0.0477646	0.2302481	0.4017991	0.0073334	0.3599855	0.0811129	0.4492545	0.1173057	0.2488303	0.1477734	0.0926230	0.6451061	0.3570255	0.8410914	0.1969990	0.4974219	0.8887230	0.5972159	0.5399805	0.4778260	0.0342289	0.2314449	0.1708978	0.5161637	0.2271450	0.2572396	0.3977786	0.6316860	0.6851522	0.6505284	0.5080269	0.1905243	0.2997184	0.0542743	0.5060000	0.3179803	0.3930386	0.5929398	0.7476324	0.5408887	0.0707549	0.0596379	0.6591413	0.3007856	0.0754141	0.1751348	0.6380763
1000	0.4187917	0.4307773	0.5649062	0.2784132	0.3873935	0.3466583	0.0117465	0.2128618	0.0357880	0.3402031	0.5728198	0.0209246	0.4652068	0.0241086	0.4476744	0.1458678	0.2481699	0.1828408	0.0907224	0.6646325	0.2880372	0.6902092	0.1972829	0.5266334	0.7162361	0.6039709	0.6225244	0.5480080	0.0265441	0.1776217	0.1872120	0.4985223	0.2189045	0.2784368	0.3484703	0.4498141	0.8084484	0.7205656	0.4895754	0.3282935	0.2442866	0.0405949	0.6206131	0.4041911	0.3062277	0.8234712	0.6870904	0.6335962	0.0606683	0.0733106	0.7196054	0.3845256	0.0576516	0.1323373	0.5763494

0	0.3666981	0.4355807	0.5309689	0.4227176	0.3401877	0.5105930	0.0022744	0.2588645	0.0729683	0.4349583	0.3896630	0.0103704	0.3098565	0.0263060	0.4397580	0.0628223	0.2455614	0.1466785	0.0351943	0.6724656	0.2222877	0.7295948	0.1609147	0.4566156	0.7674949	0.5594910	0.5691291	0.4487278	0.0320272	0.3628205	0.2305986	0.4719776	0.2502859	0.3714335	0.4619673	0.5741994	0.7560069	0.7653011	0.4861425	0.1662123	0.3476040	0.0716444	0.6499195	0.3091486	0.2691275	0.7058792	0.6305430	0.6764236	0.0737196	0.0499824	0.6815948	0.4510148	0.0400703	0.2342308	0.7063252
50	0.5247377	0.5200451	0.5695347	0.6243234	0.4608184	0.4194630	0.0003999	0.3673277	0.0338361	0.3114378	0.3747728	0.0310066	0.3892279	0.0420122	0.5649820	0.0955671	0.3574824	0.4642980	0.0294786	0.4021095	0.3343899	0.7610300	0.2918417	0.4054152	0.7122184	0.6961627	0.4423748	0.2242992	0.0285213	0.2623173	0.2357922	0.4897438	0.3615902	0.2528724	0.3456741	0.3693308	0.6846613	0.1578171	0.4610344	0.3404416	0.3045327	0.0306755	0.6728413	0.4270135	0.2427266	0.8664053	0.7111937	0.5966832	0.1024529	0.1228095	0.8393561	0.3120904	0.0361616	0.2072169	0.5934129
100	0.4415302	0.3555655	0.6536325	0.6593560	0.4206623	0.3589198	0.0003169	0.2417250	0.0550767	0.2467114	0.5130236	0.0157521	0.2572970	0.1184211	0.5987171	0.0370894	0.1960713	0.5089477	0.0117326	0.1744822	0.3574153	0.6324875	0.3887049	0.6308972	0.7206278	0.6046944	0.5089885	0.2578676	0.0399064	0.3122473	0.1894360	0.5028176	0.4692666	0.2488336	0.3323409	0.3188293	0.7273898	0.1415072	0.4629084	0.4008042	0.2633925	0.0361671	0.6704868	0.2744026	0.2755287	0.6880240	0.6381823	0.7177778	0.1068721	0.0521342	0.7148529	0.4645892	0.0225590	0.0983981	0.7619901
150	0.3347423	0.3417508	0.4969571	0.7354481	0.3318428	0.4547717	0.0008881	0.2848688	0.0441571	0.3034361	0.5152991	0.0214949	0.2956128	0.0434245	0.6221727	0.0925170	0.2112142	0.5560816	0.0071620	0.1279343	0.3434056	0.8339681	0.4138445	0.4399873	0.7367851	0.5406575	0.5953956	0.2574906	0.0184906	0.2530416	0.1736830	0.4626546	0.4531712	0.2851662	0.4247345	0.4826012	0.6408870	0.0696168	0.5125200	0.4378319	0.3295399	0.0754939	0.7213014	0.3381394	0.3608076	0.7539665	0.6207870	0.6287349	0.0532168	0.0812562	0.7106211	0.4229572	0.0389051	0.1859229	0.8426086
200	0.4030056	0.3903459	0.6741354	0.6075347	0.4401750	0.3552787	0.0000432	0.3197405	0.0615286	0.3561275	0.5422992	0.0139952	0.4399332	0.0174897	0.6537176	0.0527370	0.2165373	0.4863465	0.0062244	0.1764647	0.3606672	0.7302591	0.5172043	0.4148592	0.6150066	0.6008987	0.5725400	0.2037199	0.0086417	0.2053765	0.1851424	0.5844359	0.3820317	0.2952029	0.4834485	0.3049946	0.8044823	0.1119501	0.4072971	0.3960275	0.2520536	0.0160432	0.7052222	0.3068529	0.2957030	0.7670234	0.6191911	0.7375416	0.0487429	0.0884077	0.7433169	0.4850020	0.0327582	0.1454365	0.8510824
250	0.4450968	0.4428521	0.6595233	0.6475083	0.4180394	0.3275831	0.0006555	0.3467578	0.0509909	0.3261283	0.4455721	0.0408685	0.4515410	0.0252521	0.4857088	0.0727659	0.1505888	0.5162011	0.0139482	0.1363265	0.4487771	0.6075648	0.3655777	0.4666700	0.7089113	0.5608020	0.5692927	0.2250394	0.0192952	0.1803699	0.2369038	0.6123426	0.4809621	0.2625515	0.3981218	0.3590256	0.6803236	0.1327849	0.4531526	0.4584497	0.3932071	0.0212814	0.6393127	0.3839691	0.2659798	0.6401050	0.7738606	0.6667300	0.0523269	0.0628850	0.6633452	0.5263198	0.0504803	0.2127067	0.7096919
300	0.3949649	0.3622176	0.6164204	0.5973666	0.2930653	0.3570839	0.0004962	0.2574493	0.0555941	0.2758348	0.5352151	0.0163229	0.3614731	0.0644144	0.5024293	0.0635243	0.1747027	0.4928228	0.0015858	0.1339049	0.3649469	0.7103946	0.3299584	0.5111781	0.7366822	0.5098944	0.6200815	0.1708240	0.0281585	0.2149751	0.2223746	0.6610189	0.4959314	0.1898034	0.3103404	0.3044227	0.7131576	0.0812840	0.4726789	0.4278336	0.2811077	0.0282442	0.6896611	0.3599760	0.3365532	0.6226437	0.6908046	0.7297327	0.0781678	0.0561585	0.6926101	0.5843437	0.0127014	0.1315747	0.7254066
350	0.3564139	0.4594009	0.6028051	0.5630073	0.3595401	0.3848538	0.0006866	0.3063149	0.0361860	0.3384518	0.3879160	0.0250946	0.3759989	0.0300674	0.5506022	0.1018887	0.2069059	0.4466489	0.0020915	0.0996610	0.3971532	0.7182836	0.3779334	0.4686546	0.7421560	0.6200085	0.5596057	0.2364829	0.0187805	0.2327287	0.1904625	0.4574156	0.5457630	0.2380290	0.5023275	0.4341946	0.7715975	0.1287122	0.4550849	0.4287915	0.2647587	0.0133462	0.7659864	0.3009480	0.3434159	0.5958531	0.6486198	0.5716917	0.0493053	0.0750357	0.7465851	0.4551015	0.0194145	0.1632095	0.7724557
400	0.4129356	0.5229905	0.5291677	0.6100870	0.4199080	0.3624101	0.0000199	0.2908016	0.0363060	0.2596463	0.4073504	0.0145677	0.4426076	0.0325338	0.5711212	0.0753787	0.1714586	0.4547929	0.0018730	0.0985975	0.4281446	0.8167496	0.4427124	0.4163685	0.6945686	0.6005032	0.5356780	0.2312861	0.0158616	0.2068410	0.1903029	0.5168983	0.5505950	0.2653222	0.3157225	0.3165909	0.6331667	0.0925437	0.4174852	0.3657620	0.2328935	0.0186494	0.6018264	0.2398060	0.2550950	0.5985350	0.6283410	0.6535208	0.0826587	0.0439295	0.6715116	0.4872023	0.0274994	0.2032807	0.6951863
450	0.4987989	0.4475840	0.4932820	0.6532043	0.4340683	0.4240021	0.0000000	0.3971876	0.0852345	0.2787121	0.3997569	0.0082159	0.3515476	0.0604836	0.7014432	0.0869170	0.2883858	0.4868400	0.0040562	0.1412518	0.4466991	0.6403089	0.3471449	0.4580188	0.6743246	0.6514738	0.6267912	0.2960740	0.0153872	0.2990359	0.2229589	0.5606744	0.4980662	0.2530698	0.3734341	0.3350233	0.7664999	0.1197673	0.5287936	0.3724576	0.3445500	0.0355751	0.6734981	0.2726626	0.2016549	0.6165299	0.5759078	0.6894373	0.0522470	0.0223700	0.7433944	0.4306190	0.0614395	0.1616774	0.5729485
500	0.4684733	0.4084562	0.5491936	0.7076815	0.4883145	0.4520485	0.0001828	0.2729588	0.0501609	0.2916000	0.4405429	0.0319037	0.2958085	0.0667882	0.5189204	0.0845333	0.1846426	0.4172746	0.0043017	0.0686200	0.4092450	0.8427910	0.3704669	0.4702744	0.7922713	0.6100751	0.6088512	0.2150286	0.0134633	0.2834824	0.2886488	0.6582295	0.5869456	0.2477811	0.3907238	0.3041925	0.7873317	0.1406368	0.5450074	0.4159774	0.2125109	0.0745716	0.6180064	0.4867824	0.3155414	0.6384943	0.6546153	0.5977238	0.0560900	0.0390968	0.6457574	0.4064634	0.0621468	0.1679542	0.5637921
550	0.4015339	0.3337492	0.5327123	0.4414030	0.3337160	0.2772757	0.0209060	0.2312178	0.0362571	0.2523005	0.5198785	0.0415635	0.3121313	0.0741995	0.6115763	0.1105983	0.1806009	0.2132554	0.0666259	0.4625643	0.3186267	0.6988220	0.2281646	0.5632104	0.7314796	0.6283172	0.5219136	0.4019369	0.0183696	0.3154985	0.2081330	0.4004066	0.3384258	0.1738324	0.3112320	0.5911167	0.6362888	0.5011421	0.5252743	0.2761149	0.3426454	0.0428370	0.6583790	0.2913322	0.3253361	0.6353230	0.7809279	0.5689659	0.0502779	0.0647607	0.7543209	0.3551233	0.0260430	0.1772790	0.5671002
600	0.3171085	0.3695357	0.4999933	0.2214813	0.4066381	0.4121682	0.0085947	0.3673245	0.0640322	0.2479349	0.4590958	0.0428728	0.3482840	0.0143861	0.5167288	0.0713840	0.2163239	0.1482952	0.0702982	0.6525409	0.3111733	0.7310475	0.3066938	0.3787127	0.7422882	0.6202049	0.4695735	0.3348354	0.0201444	0.1500159	0.2777160	0.5556142	0.2529363	0.2072070	0.5036557	0.5599521	0.7144063	0.7618750	0.3811778	0.1836751	0.2839946	0.0181093	0.7061747	0.2937200	0.3137146	0.6776731	0.6261475	0.6878667	0.0508506	0.0557956	0.7849802	0.4456180	0.0288233	0.2174469	0.7140209
650	0.4570430	0.4836447	0.5758751	0.2048196	0.4363853	0.4906783	0.0444492	0.3293268	0.0456217	0.3185613	0.3944976	0.0137976	0.5185785	0.0307453	0.5286561	0.0603163	0.2002969	0.0968749	0.0300972	0.6328576	0.2369963	0.7758611	0.2637943	0.4467700	0.7230907	0.6194006	0.5779464	0.4120692	0.0167443	0.1729176	0.2108107	0.4542998	0.3427224	0.3253296	0.4645030	0.4993419	0.8000478	0.7464501	0.4836473	0.2329215	0.3188865	0.0229354	0.5938940	0.3622867	0.3161526	0.6051559	0.6271606	0.7654709	0.0534938	0.0530863	0.7021892	0.4723413	0.0185883	0.1365577	0.6271313
700	0.4719423	0.5537160	0.5026304	0.5052118	0.4595523	0.4043825	0.0035766	0.2009462	0.0517163	0.3531222	0.4068156	0.0194894	0.4016118	0.1033773	0.4984377	0.0509345	0.2292773	0.1252965	0.0634653	0.5854269	0.3323531	0.7033236	0.2074156	0.5000683	0.7545197	0.6004968	0.5981340	0.4588474	0.0103078	0.3104116	0.2836699	0.4720518	0.3349720	0.2223746	0.4200358	0.5537294	0.7393250	0.7012722	0.5111730	0.1660577	0.3035774	0.0800413	0.5518041	0.3122130	0.3251245	0.6558725	0.7600924	0.6244186	0.0729345	0.0379025	0.6854574	0.4486189	0.0360556	0.1355001	0.5302528
750	0.3551902	0.4513730	0.5569692	0.3609037	0.3915230	0.2817660	0.0627073	0.1426548	0.0191824	0.2367494	0.4901031	0.0415290	0.3206543	0.0968805	0.5364925	0.0581354	0.1736177	0.1178910	0.0907513	0.6232845	0.3663972	0.8587776	0.1762957	0.5007615	0.7236437	0.6464425	0.5813355	0.4021679	0.0318756	0.2671753	0.2227877	0.4495870	0.2905725	0.4196108	0.4143359	0.7264526	0.7807908	0.7263968	0.5080784	0.1783767	0.3036327	0.0333795	0.6604795	0.2736543	0.4616729	0.6622438	0.8471696	0.4906751	0.0724456	0.0613620	0.6930495	0.4992466	0.0614442	0.2029750	0.6762342
800	0.4821678	0.3718535	0.4926695	0.3084479	0.3651137	0.3725915	0.0170420	0.1976748	0.0500897	0.2929489	0.4759799	0.0132557	0.3441670	0.0543468	0.5702514	0.0487424	0.2810327	0.1256669	0.0558164	0.6842014	0.3160800	0.7878144	0.1575875	0.4522307	0.7766475	0.5638077	0.6237650	0.4239128	0.0296832	0.2185409	0.2249786	0.3998255	0.2630227	0.2245195	0.3510114	0.6124519	0.7730262	0.7042530	0.3333328	0.2712859	0.2169511	0.0346314	0.6574902	0.3214650	0.3453729	0.7387026	0.6455313	0.6778953	0.0791506	0.0506225	0.7302798	0.4931847	0.0199459	0.1442675	0.5560462
850	0.4242058	0.3418885	0.6421081	0.2734548	0.3940022	0.3449444	0.0060397	0.2813496	0.0270576	0.2724761	0.4018931	0.0549770	0.3448365	0.0475866	0.6725831	0.0705830	0.2920237	0.1609171	0.0829842	0.6218773	0.3811111	0.8070502	0.2395002	0.4088711	0.6967039	0.4806349	0.6343414	0.4452398	0.0562567	0.1609718	0.2150869	0.3841282	0.2287627	0.2843006	0.4504502	0.5407000	0.6810535	0.8160055	0.4483250	0.2174210	0.3748393	0.0317130	0.6048737	0.2997141	0.3231979	0.6475178	0.7112139	0.6781161	0.0489248	0.0549911	0.7806785	0.4212271	0.0313120	0.1461678	0.5559890
900	0.4329550	0.3827969	0.5629169	0.4132011	0.3125978	0.3961728	0.0041397	0.1998168	0.0417984	0.2826913	0.4618678	0.0126608	0.3876615	0.0419258	0.6018219	0.0660578	0.2164551	0.1719422	0.0734718	0.8220432	0.3378567	0.7475528	0.2509461	0.5364541	0.6721771	0.5364410	0.5087655	0.4233475	0.0378979	0.1549929	0.2210942	0.5533872	0.3000712	0.2478789	0.3645666	0.6428263	0.8706412	0.6948525	0.4464907	0.2096277	0.3275290	0.0638593	0.5765819	0.2911729	0.2930041	0.5691164	0.7066676	0.5689208	0.0491100	0.0449817	0.7108087	0.4545423	0.0416158	0.1675777	0.5978722
950	0.3923106	0.4405652	0.6225791	0.2078448	0.4339356	0.3910122	0.0130471	0.2644047	0.0279183	0.2953894	0.4951906	0.0087235	0.3933344	0.0357917	0.5595709	0.0839630	0.2984298	0.1379307	0.0555295	0.6844392	0.3362740	0.7774442	0.1782745	0.4485043	0.6507479	0.6056036	0.5548325	0.3903574	0.0608962	0.1741149	0.1802961	0.4284039	0.2266661	0.2201004	0.4050906	0.4523548	0.8589721	0.6274025	0.4457362	0.2956072	0.2301712	0.0240625	0.5543314	0.3372751	0.3264531	0.5782179	0.7167877	0.7235482	0.1065123	0.0609422	0.7110270	0.3692489	0.0334256	0.1168941	0.6802500
